Episode,Average Reward,Average Length
10,1.0,3.1
20,0.9,3.3
30,1.0,3.3
40,1.0,3.1
50,1.0,3.0
60,1.0,3.0
70,1.0,3.2
80,1.0,3.3
90,1.0,3.3
100,1.0,3.1
110,1.0,3.1
120,1.0,3.4
130,1.0,3.1
140,1.0,3.0
150,1.0,3.4
160,1.0,3.1
170,1.0,3.4
180,1.0,3.2
190,1.0,3.5
200,1.0,3.0
210,1.0,3.4
220,1.0,3.2
230,1.0,3.3
240,1.0,3.1
250,0.9,3.5
260,1.0,3.1
270,1.0,3.4
280,1.0,3.3
290,1.0,3.1
300,1.0,3.1
310,0.9,3.3
320,1.0,3.3
330,1.0,3.0
340,1.0,3.1
350,1.0,3.1
360,1.0,3.0
370,1.0,3.2
380,1.0,3.2
390,1.0,3.0
400,1.0,3.1
410,1.0,3.1
420,1.0,3.3
430,1.0,3.3
