training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.42,0.019454384088516234,0.71,20.077,0.0009767074855568689
1999,0.372,0.0197547869682312,0.686,21.647,0.0009189801473789659
2999,0.398,0.021848445653915406,0.699,24.157,0.0009114316869546139
3999,0.344,0.021857054948806763,0.672,25.914,0.0008495930497951324
4999,0.348,0.022041701316833497,0.674,26.008,0.0008530034294337916
5999,0.388,0.021445685386657715,0.694,25.341,0.0008504806361838077
6999,0.402,0.02151800537109375,0.701,25.142,0.0008616905936499596
7999,0.338,0.023318631172180176,0.669,28.593,0.0008223961960064845
8999,0.472,0.021387218952178957,0.736,24.16,0.0008916297745213619
9999,0.422,0.02120115661621094,0.711,24.305,0.000878625900569481
10999,0.374,0.022335839986801147,0.687,26.263,0.0008577296941459308
11999,0.478,0.021655027866363526,0.739,25.174,0.000866457935951567
12999,0.436,0.022140300273895262,0.718,26.212,0.0008505083541349095
13999,0.432,0.020937659978866575,0.716,24.27,0.0008686758629982725
14999,0.488,0.0228113157749176,0.744,26.125,0.0008785462338296595
15999,0.5,0.020792629718780518,0.75,23.697,0.0008831704826894397
16999,0.47,0.02304952383041382,0.735,27.725,0.0008368576712246422
17999,0.494,0.02196526312828064,0.747,26.213,0.0008437952849296655
18999,0.538,0.02085009479522705,0.769,24.588,0.0008540636716431699
19999,0.486,0.02148832607269287,0.743,25.09,0.0008631934915906104
20999,0.572,0.021647658109664916,0.786,26.337,0.0008281791314242762
21999,0.464,0.0203464777469635,0.732,24.039,0.0008520450357343911
22999,0.478,0.02315493845939636,0.739,27.042,0.0008614320308390021
23999,0.506,0.02097060179710388,0.753,24.325,0.0008669479617990751
24999,0.562,0.021846024990081786,0.781,25.396,0.0008636294037968767
25999,0.476,0.022626291036605836,0.738,27.915,0.000815691614284141
26999,0.556,0.020337501049041747,0.778,23.528,0.0008698402500979907
27999,0.572,0.01922273778915405,0.786,22.422,0.0008638631541468372
28999,0.538,0.01907739520072937,0.769,22.141,0.000868814598207254
29999,0.564,0.019761393785476686,0.782,23.285,0.0008540572251642849
30999,0.498,0.022217391967773437,0.749,26.794,0.0008361483072067589
31999,0.57,0.020737780332565306,0.785,24.61,0.0008508482901603282
32999,0.548,0.021403018951416015,0.774,25.845,0.000835332547342017
33999,0.56,0.01925249481201172,0.78,22.613,0.0008593676108926178
34999,0.538,0.021181740760803223,0.769,25.676,0.0008339738814392652
35999,0.566,0.020038595199584962,0.783,24.111,0.0008408019695241022
36999,0.588,0.0201563937664032,0.794,24.355,0.0008370582214753483
37999,0.608,0.01947940182685852,0.804,23.049,0.0008526780085334252
38999,0.466,0.022931021213531494,0.733,28.923,0.0008008986687803324
39999,0.58,0.02017564868927002,0.79,24.493,0.0008323602004076313
40999,0.596,0.019976037740707397,0.798,23.977,0.0008421402560855046
41999,0.596,0.019689800024032592,0.798,23.646,0.0008406946954259849
42999,0.58,0.021782328844070435,0.79,27.325,0.0008073096468476033
43999,0.56,0.020381688833236693,0.78,24.743,0.0008327734470171203
44999,0.548,0.02208740234375,0.774,27.711,0.0008067586267849282
45999,0.56,0.021075824499130247,0.78,25.898,0.0008261642449137545
46999,0.602,0.01831086277961731,0.801,21.428,0.0008659657657064501
47999,0.606,0.01947103190422058,0.803,23.696,0.0008332279234590971
48999,0.59,0.02085066819190979,0.795,25.825,0.0008195447714789919
49999,0.658,0.0179283390045166,0.829,21.079,0.0008625571227780556
50999,0.578,0.018882516145706178,0.789,22.625,0.0008463229518636813
51999,0.618,0.018544396162033083,0.809,22.229,0.0008459960138223192
52999,0.614,0.019190612316131592,0.807,23.553,0.0008273451316433658
53999,0.69,0.019634083986282348,0.845,24.624,0.0008082240728171557
54999,0.64,0.019291417837142943,0.82,23.317,0.0008386543121004663
55999,0.66,0.018034971952438354,0.83,21.427,0.0008531959570155235
56999,0.664,0.018552520751953124,0.832,22.546,0.0008366109492088694
57999,0.656,0.019314325571060182,0.828,23.082,0.0008481416529330082
58999,0.648,0.02032213616371155,0.824,25.352,0.000813648889158347
59999,0.62,0.017839109897613524,0.81,20.983,0.0008600928623139856
60999,0.626,0.020459147214889527,0.813,25.529,0.0008150520750757682
61999,0.598,0.019772350788116455,0.799,24.216,0.0008287542932777319
62999,0.616,0.02112350034713745,0.808,26.731,0.0008015229800666296
63999,0.634,0.01991259813308716,0.817,24.707,0.000817155935886315
64999,0.69,0.019070063591003418,0.845,23.157,0.000833797898641542
65999,0.668,0.021852863550186157,0.834,27.367,0.0008075750395172319
66999,0.662,0.018922472238540648,0.831,22.485,0.0008503482706300167
67999,0.58,0.019068592786788942,0.79,22.66,0.0008535623247639101
68999,0.658,0.019524874210357666,0.829,24.609,0.0008054455357482449
69999,0.702,0.01910455012321472,0.851,23.345,0.0008320862353593184
