training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.42,0.019454384088516234,0.71,20.077,0.0009767074855568689
1999,0.372,0.0197547869682312,0.686,21.647,0.0009189801473789659
2999,0.398,0.021848445653915406,0.699,24.157,0.0009114316869546139
3999,0.344,0.021857054948806763,0.672,25.914,0.0008495930497951324
4999,0.348,0.022041701316833497,0.674,26.008,0.0008530034294337916
5999,0.388,0.021445685386657715,0.694,25.341,0.0008504806361838077
6999,0.402,0.02151800537109375,0.701,25.142,0.0008616905936499596
7999,0.338,0.023318631172180176,0.669,28.593,0.0008223961960064845
8999,0.472,0.021387218952178957,0.736,24.16,0.0008916297745213619
9999,0.422,0.02120115661621094,0.711,24.305,0.000878625900569481
