training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.22,0.022484049797058106,0.61,25.23,0.0008979499206022569
1999,0.36,0.01922119379043579,0.68,20.71,0.0009410041064119316
2999,0.44,0.020297205448150633,0.72,22.72,0.0008990589550197065
3999,0.42,0.01948570728302002,0.71,21.0,0.000932906195790183
4999,0.52,0.02012840986251831,0.76,19.73,0.00103544935738467
5999,0.5,0.01947709560394287,0.75,21.28,0.0009204046346606378
6999,0.44,0.018256568908691408,0.72,20.26,0.0009081614435298034
7999,0.44,0.021204907894134522,0.72,22.83,0.0009342288108356832
8999,0.44,0.022386031150817873,0.72,21.09,0.0010630957182299295
9999,0.34,0.019872446060180664,0.67,22.53,0.0008924308382836234
10999,0.52,0.019383177757263184,0.76,22.29,0.0008771745541191413
11999,0.5,0.02072986364364624,0.75,21.49,0.0009694562871729996
12999,0.52,0.019595766067504884,0.76,21.96,0.0008976606721064471
13999,0.5,0.01996677875518799,0.75,21.63,0.0009326247895517836
14999,0.58,0.01878277063369751,0.79,21.16,0.0008938672385123803
15999,0.7,0.019087445735931397,0.85,21.33,0.0009020246233733645
16999,0.58,0.0199988317489624,0.79,20.28,0.0009823292077817646
17999,0.6,0.0190238618850708,0.8,20.38,0.0009426690231508105
18999,0.58,0.018506927490234373,0.79,20.07,0.0009258411332109102
19999,0.62,0.020035274028778076,0.81,22.34,0.0008996033434344341
20999,0.68,0.020136375427246094,0.84,21.29,0.0009518748587323336
21999,0.48,0.01985304594039917,0.74,20.26,0.0009760969180743655
22999,0.62,0.020105199813842775,0.81,22.27,0.0009122485308343283
23999,0.54,0.02322443962097168,0.77,21.04,0.0011071399650731735
24999,0.6,0.022240359783172608,0.8,20.77,0.0010727596220736209
25999,0.68,0.01937363862991333,0.84,20.51,0.0009423968750818638
26999,0.76,0.019178929328918456,0.88,20.39,0.0009456783896449752
27999,0.74,0.01911799907684326,0.87,20.91,0.00092129150606272
28999,0.6,0.020256462097167968,0.8,20.86,0.0009855848906862655
29999,0.5,0.018024885654449464,0.75,19.19,0.0009467658504554025
30999,0.64,0.019707930088043214,0.82,19.63,0.0010031236831068234
31999,0.64,0.01806529998779297,0.82,19.28,0.0009547767864503025
