training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.64,0.014632105827331543,0.82,12.88,0.0011342943319272306
1999,0.7,0.014807605743408203,0.85,13.01,0.001135596865133542
2999,0.7,0.01439155101776123,0.85,12.67,0.0011351531262404598
3999,0.54,0.014857726097106934,0.77,13.14,0.0011298050770920354
4999,0.74,0.015392854213714599,0.87,13.65,0.0011234883708767397
5999,0.56,0.01438973903656006,0.78,12.73,0.0011307901233234237
6999,0.7,0.014211127758026123,0.85,12.74,0.0011139085990270249
7999,0.7,0.0139288067817688,0.85,12.4,0.0011209984167576625
8999,0.72,0.014635167121887206,0.86,13.05,0.0011182533146929395
9999,0.62,0.014979028701782226,0.81,13.2,0.0011308422012325768
10999,0.6,0.014808111190795899,0.8,13.04,0.0011368859876607755
11999,0.64,0.0145770263671875,0.82,12.86,0.0011335587086075908
12999,0.6,0.014135513305664062,0.8,12.53,0.0011262130171072575
13999,0.68,0.015098388195037843,0.84,13.79,0.0010951943117535154
14999,0.62,0.01479012966156006,0.81,13.72,0.0010830062522155445
15999,0.76,0.015274326801300048,0.88,14.2,0.0010794744389679208
16999,0.62,0.016093595027923582,0.81,15.18,0.0010675431616962456
17999,0.68,0.016575794219970703,0.84,16.01,0.0010490239410004935
18999,0.72,0.01809828519821167,0.86,17.9,0.0010218167015783697
19999,0.56,0.01724814176559448,0.78,16.35,0.0010629704110413697
20999,0.66,0.017867188453674316,0.83,17.38,0.0010407471865239274
21999,0.72,0.01652048110961914,0.86,15.92,0.0010538115913892952
22999,0.78,0.01687023401260376,0.89,16.6,0.0010266579121871293
23999,0.7,0.016816461086273195,0.85,16.11,0.0010500830564053368
24999,0.7,0.016109943389892578,0.85,15.48,0.0010482154473763906
25999,0.6,0.01670621395111084,0.8,16.14,0.0010448651958476951
26999,0.68,0.01667705774307251,0.84,16.01,0.0010456368041841077
27999,0.74,0.018183073997497558,0.87,18.02,0.0010186613558773362
28999,0.7,0.01709312677383423,0.85,16.4,0.0010562239177164473
29999,0.74,0.01940166711807251,0.87,19.15,0.0010268017525392873
30999,0.84,0.02259028911590576,0.92,23.53,0.0009668837666329758
31999,0.88,0.0237931489944458,0.94,25.36,0.0009451497819020979
32999,0.78,0.01977921724319458,0.89,20.31,0.0009794053794756972
33999,0.74,0.0224322772026062,0.87,23.85,0.0009486132877260053
34999,0.7,0.0265065860748291,0.85,28.6,0.0009309377563061839
35999,0.74,0.023185687065124513,0.87,24.56,0.0009535171123361077
36999,0.74,0.030750045776367186,0.87,33.59,0.0009211729460092705
37999,0.64,0.029971892833709716,0.82,32.59,0.0009280339840179523
38999,0.7,0.027831599712371827,0.85,30.26,0.0009274632775867392
39999,0.62,0.03859814882278442,0.81,43.06,0.000902954500667383
40999,0.54,0.03806140422821045,0.77,42.64,0.0009037269341583728
41999,0.3,0.0420198130607605,0.65,47.4,0.0008974345953131932
42999,0.3,0.04681336164474487,0.65,52.82,0.0008945595179158125
43999,0.4,0.03754471778869629,0.7,41.8,0.0009167297436857279
44999,0.64,0.03338344812393188,0.82,36.85,0.0009208193302465757
45999,0.38,0.041706595420837406,0.69,46.79,0.0009050467961769188
46999,0.52,0.03554518461227417,0.76,39.64,0.0009052622321903093
47999,0.56,0.03532332420349121,0.78,38.98,0.0009201217290964525
48999,0.54,0.03890112400054932,0.77,43.72,0.0008995122288453768
49999,0.48,0.037139782905578615,0.74,41.47,0.0009074714724510337
50999,0.7,0.0337584376335144,0.85,37.61,0.0009071767035165784
51999,0.74,0.030616450309753417,0.87,33.72,0.0009205657709274743
52999,0.64,0.031143951416015624,0.82,34.16,0.0009234656198091789
53999,0.6,0.035804202556610105,0.8,39.75,0.0009060471744229821
54999,0.52,0.03195246934890747,0.76,35.01,0.0009232641910105804
55999,0.66,0.03439801692962646,0.83,37.99,0.0009138462566221296
56999,0.7,0.028463754653930664,0.85,30.53,0.0009459797966341887
57999,0.58,0.03078793525695801,0.79,33.62,0.0009259544821499634
58999,0.62,0.02955549955368042,0.81,31.95,0.0009371410276079611
59999,0.6,0.02948937177658081,0.8,32.03,0.0009258123289177054
60999,0.68,0.02861527442932129,0.84,31.01,0.000932824041378129
61999,0.66,0.02862377405166626,0.83,31.14,0.000927220256104224
62999,0.72,0.028707478046417236,0.86,31.25,0.0009297660824371819
