training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
99,0.14,0.033872506618499755,0.57,32.16,0.001050216881936612
199,0.38,0.02333324670791626,0.69,21.2,0.0011063972795616616
299,0.46,0.019235196113586425,0.73,16.49,0.001168243506447549
399,0.6,0.02085214376449585,0.8,14.97,0.001363894615912561
499,0.66,0.017138457298278807,0.83,13.56,0.0012622189207186897
599,0.6,0.017911849021911622,0.8,13.57,0.0013139998613976608
699,0.72,0.014928770065307618,0.86,12.37,0.0012092678537151858
799,0.6,0.016342620849609375,0.8,12.9,0.0012719532489456292
899,0.64,0.015472173690795898,0.82,12.22,0.0012664770787259437
999,0.72,0.015965700149536133,0.86,12.99,0.0012269082716235165
1099,0.72,0.015124125480651856,0.86,12.42,0.001217418827618119
1199,0.54,0.015141477584838867,0.77,12.72,0.0011930739775412116
1299,0.72,0.015456621646881103,0.86,13.0,0.0011867061117131915
1399,0.58,0.014655120372772217,0.79,12.16,0.0012062586656262624
1499,0.54,0.01544020652770996,0.77,12.45,0.0012463939099912372
1599,0.52,0.01555081844329834,0.76,12.78,0.0012159100696890511
1699,0.66,0.01568936586380005,0.83,13.33,0.0011746522593362476
1799,0.66,0.015556166172027588,0.83,12.95,0.001208691126352583
1899,0.6,0.014588618278503418,0.8,12.02,0.0012152208068232793
1999,0.74,0.014962911605834961,0.87,13.3,0.0011251799396076127
2099,0.72,0.017472641468048097,0.86,16.93,0.0010371943457210357
2199,0.8,0.016908097267150878,0.9,16.45,0.001032207958015587
2299,0.74,0.01857146739959717,0.87,17.3,0.0010796738133208974
2399,0.72,0.018443522453308107,0.86,17.13,0.0010865617035718644
2499,0.88,0.01891615629196167,0.94,17.79,0.0010801510990982636
2599,0.78,0.01762843132019043,0.89,17.25,0.0010295273368632995
2699,0.78,0.017762482166290283,0.89,16.59,0.0010760835479994711
2799,0.82,0.017097785472869872,0.91,16.49,0.0010458457283376115
2899,0.82,0.018611741065979005,0.91,17.48,0.0010711945751892566
2999,0.8,0.01820493698120117,0.9,17.5,0.0010452752163668628
3099,0.8,0.019223637580871582,0.9,17.94,0.0010746440234970065
3199,0.7,0.017468652725219726,0.85,16.03,0.0010960350163287302
3299,0.84,0.019380977153778078,0.92,18.36,0.0010640869889309806
3399,0.82,0.018556463718414306,0.91,17.3,0.0010783845905494966
3499,0.76,0.01937645673751831,0.88,19.81,0.000986488515029688
3599,0.76,0.018994691371917723,0.88,19.13,0.0010038514948988403
3699,0.84,0.01792410135269165,0.92,17.06,0.00105705805222422
3799,0.82,0.01884286880493164,0.91,18.73,0.0010123055108978236
3899,0.78,0.020097620487213134,0.89,19.25,0.0010547371480679674
3999,0.8,0.019851016998291015,0.9,18.9,0.0010606209896242605
4099,0.84,0.02060981035232544,0.92,18.95,0.0011015332606648413
4199,0.78,0.019352736473083495,0.89,18.63,0.0010503602662507105
4299,0.8,0.019079468250274657,0.9,19.24,0.001002045622178761
4399,0.74,0.018202757835388182,0.87,18.27,0.0010061154916393813
4499,0.86,0.02006959676742554,0.93,20.41,0.0009920498675431394
4599,0.8,0.01935037851333618,0.9,19.24,0.0010157100514915879
4699,0.88,0.01976729154586792,0.94,20.07,0.0009917276094389518
4799,0.68,0.01866325855255127,0.84,18.77,0.0010009830948310844
4899,0.84,0.019438927173614503,0.92,18.3,0.0010696703253003344
4999,0.78,0.01858577013015747,0.89,18.42,0.0010179539347905486
5099,0.76,0.01956817865371704,0.88,18.48,0.001071091687349203
5199,0.76,0.019700167179107667,0.88,18.71,0.0010640015254748648
5299,0.82,0.018206939697265626,0.91,18.45,0.0009976986389892489
5399,0.78,0.01939688444137573,0.89,18.26,0.001074185104447312
5499,0.84,0.017826089859008788,0.92,17.73,0.001013826604071178
5599,0.72,0.01990037202835083,0.86,19.55,0.0010296611811676905
5699,0.74,0.019330039024353027,0.87,18.31,0.0010637912655668328
5799,0.82,0.019009079933166504,0.91,18.02,0.0010679743966829
5899,0.88,0.019630038738250734,0.94,18.3,0.0010870193572145703
5999,0.72,0.020287821292877196,0.86,19.72,0.0010396482392258802
6099,0.82,0.01810375690460205,0.91,16.91,0.0010803866373321547
6199,0.9,0.017857484817504883,0.95,17.03,0.0010563331632328593
6299,0.78,0.01900702714920044,0.89,17.51,0.0010936319001465706
6399,0.86,0.01830324649810791,0.93,17.79,0.0010384842041798196
6499,0.82,0.01910374879837036,0.91,18.07,0.001068452042179345
6599,0.78,0.01965137243270874,0.89,19.01,0.00104065990251667
6699,0.86,0.018372516632080078,0.93,16.93,0.0010933941357182358
6799,0.8,0.018512253761291505,0.9,17.92,0.0010430806838562824
6899,0.72,0.020188417434692383,0.86,19.49,0.0010494576412864401
6999,0.82,0.021464622020721434,0.91,20.33,0.0010664914974529824
7099,0.86,0.02150931119918823,0.93,21.56,0.0010053933235616983
7199,0.86,0.023179173469543457,0.93,23.24,0.0010140883486302321
7299,0.88,0.02396462917327881,0.94,24.48,0.000988251365506615
7399,0.82,0.020505318641662596,0.91,20.11,0.0010311560877618738
7499,0.8,0.02121469020843506,0.9,21.26,0.001009271469530826
7599,0.76,0.020009872913360597,0.88,18.94,0.0010643330047097092
7699,0.86,0.020503637790679933,0.93,20.15,0.0010289912331430888
7799,0.66,0.021798069477081298,0.83,20.75,0.0010621428840489292
7899,0.68,0.021220719814300536,0.84,20.66,0.001036422257380342
7999,0.84,0.021558547019958497,0.92,21.6,0.0010093062001386831
8099,0.84,0.021546223163604737,0.92,21.03,0.0010374537640323788
8199,0.8,0.023726966381072998,0.9,23.13,0.0010376275484875283
8299,0.74,0.02222582817077637,0.87,22.54,0.0010038928307526931
8399,0.76,0.022787070274353026,0.88,23.15,0.0009951842986817047
8499,0.82,0.022982203960418703,0.91,22.2,0.0010474863394230064
8599,0.84,0.02314882516860962,0.92,22.7,0.001030720764985026
8699,0.72,0.024340152740478516,0.86,23.6,0.0010414504345019925
8799,0.72,0.023707807064056396,0.86,23.12,0.0010379247150104807
8899,0.68,0.02301715612411499,0.84,22.24,0.0010542682646054187
8999,0.72,0.022059690952301026,0.86,22.34,0.0009993475772063901
9099,0.82,0.023078672885894776,0.91,22.4,0.001043375065220004
9199,0.88,0.020626850128173828,0.94,21.04,0.0009939766747383107
9299,0.94,0.020824244022369386,0.97,20.14,0.0010458883679157524
