training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.526,0.0176133139133453,0.763,18.581,0.0009528841865624
1999,0.552,0.0178522131443023,0.776,18.847,0.0009523837754925
2999,0.416,0.0188438177108764,0.708,20.785,0.0009168105331556
3999,0.612,0.0173320319652557,0.806,18.997,0.0009226641420171
4999,0.624,0.0170856642723083,0.812,17.669,0.0009766259324427
5999,0.638,0.0167871341705322,0.819,17.737,0.0009585186282669
6999,0.642,0.0159251387119293,0.821,17.854,0.0009016892204998
7999,0.592,0.0156512978076934,0.796,16.842,0.0009407323109838
8999,0.624,0.0150391790866851,0.812,16.473,0.0009254370163217
10999,0.574,0.0184058513641357,0.787,22.124,0.0008500724004096
11999,0.606,0.015941335439682,0.803,17.54,0.0009267542120228
12999,0.71,0.0162365067005157,0.855,18.308,0.0008979605057885
13999,0.634,0.0165626282691955,0.817,18.464,0.0009200953519507
14999,0.642,0.0175244507789611,0.821,20.053,0.0008835312181488
15999,0.658,0.0174821186065673,0.829,20.078,0.000881894049431
16999,0.62,0.0205967500209808,0.81,24.319,0.0008562577191831
17999,0.618,0.0197492570877075,0.809,23.666,0.0008432678690078
18999,0.622,0.0161013243198394,0.811,17.652,0.0009293053557355
19999,0.64,0.0150807502269744,0.82,15.97,0.0009598647179064
20999,0.6,0.0161420910358428,0.8,17.657,0.0009253410382405
21999,0.706,0.0167167074680328,0.853,18.914,0.0008939896194909
22999,0.642,0.016592190504074,0.821,18.4,0.0009170330778982
23999,0.694,0.0179430372714996,0.847,20.695,0.0008767769200594
24999,0.652,0.0160713105201721,0.826,17.628,0.0009233194478811
25999,0.62,0.0188079900741577,0.81,22.105,0.0008636805276042
26999,0.674,0.0160700047016143,0.837,17.467,0.0009303202715746
27999,0.648,0.0160384757518768,0.824,17.445,0.0009288859727647
28999,0.698,0.0160921266078948,0.849,17.498,0.0009306497134936
29999,0.538,0.0227062044143676,0.769,28.593,0.0008097445990876
30999,0.642,0.0165103342533111,0.821,18.193,0.0009214733876585
31999,0.546,0.0200919461250305,0.773,23.475,0.0008730990527709
32999,0.602,0.0230973937511444,0.801,28.949,0.0008083807544433
33999,0.674,0.0193266174793243,0.837,22.615,0.0008633690473272
34999,0.654,0.0163364524841308,0.827,17.868,0.0009273102419246
35999,0.646,0.0180549445152282,0.823,20.715,0.0008859870260965
36999,0.678,0.0193921854496002,0.839,22.686,0.0008687694314908
37999,0.594,0.0220947630405426,0.797,27.278,0.0008223182749944
38999,0.594,0.0237165250778198,0.797,29.544,0.0008145904375564
39999,0.658,0.0172126557826995,0.829,19.495,0.0008980958786957
40999,0.734,0.0202621209621429,0.867,24.407,0.0008410329457143
41999,0.608,0.023544017791748,0.804,30.048,0.0007929971843167
42999,0.502,0.032611751794815,0.751,44.599,0.000737226190789
43999,0.686,0.0170659863948822,0.843,19.093,0.0009009873417925
44999,0.656,0.0207755236625671,0.828,25.607,0.0008215050902818
45999,0.66,0.0189465868473052,0.83,22.426,0.0008561450787365
46999,0.674,0.0171527380943298,0.837,19.529,0.0008907313785756
47999,0.656,0.0161580593585968,0.828,17.866,0.0009238604581061
48999,0.714,0.0174136753082275,0.857,19.74,0.0008918374856654
49999,0.702,0.0174214007854461,0.851,19.989,0.0008826138697128
50999,0.676,0.0168091638088226,0.838,18.843,0.0009067198627216
51999,0.746,0.0154214506149292,0.873,16.937,0.0009248716663851
52999,0.702,0.0170323865413665,0.851,19.314,0.0008943062027653
53999,0.544,0.0277146990299224,0.772,36.957,0.0007561549485443
54999,0.688,0.0183916251659393,0.844,21.569,0.0008656821491652
55999,0.688,0.0186263754367828,0.844,22.339,0.0008525582905412
56999,0.736,0.0176568713188171,0.868,20.462,0.0008730463086389
57999,0.65,0.0199715037345886,0.825,24.092,0.0008384308750388
58999,0.688,0.0167403335571289,0.844,18.968,0.0008966370353973
59999,0.66,0.0171608750820159,0.83,19.815,0.0008815039980154
60999,0.646,0.0193110032081604,0.823,24.057,0.0008142840874487
61999,0.726,0.0162558050155639,0.863,18.281,0.0008999378866477
62999,0.43,0.0262848305702209,0.715,34.704,0.0007689879174329
63999,0.698,0.0208359456062316,0.849,26.225,0.0008091566062134
64999,0.69,0.0182277860641479,0.845,21.628,0.0008591081379989
65999,0.69,0.0185583925247192,0.845,22.283,0.000844299037178
66999,0.728,0.0169745273590087,0.864,19.42,0.0008887199616664
67999,0.684,0.0168738574981689,0.842,19.017,0.0008975113341544
68999,0.766,0.0167765998840332,0.883,19.15,0.000884635993028
69999,0.626,0.0171570963859558,0.813,19.6,0.0008847338997064
70999,0.654,0.019448234796524,0.827,23.361,0.000839991672587
71999,0.68,0.0228130054473876,0.84,29.374,0.0007827861938829
72999,0.684,0.0209445304870605,0.842,25.827,0.0008183219953986
73999,0.766,0.0172692959308624,0.883,19.908,0.0008790802986388
74999,0.75,0.0196774666309356,0.875,24.675,0.0008077232213876
75999,0.64,0.016856125831604,0.82,19.562,0.0008856001901489
76999,0.704,0.0176670844554901,0.852,20.994,0.0008532774255284
77999,0.606,0.0193899934291839,0.803,23.607,0.0008384655646622
78999,0.656,0.0192568922042846,0.828,23.429,0.0008313384383782
79999,0.718,0.0180027282238006,0.859,21.487,0.0008524199968828
80999,0.712,0.0156302642822265,0.856,17.28,0.000921224693113
81999,0.712,0.0196090760231018,0.856,24.366,0.0008216370602935
82999,0.706,0.0188855271339416,0.853,23.269,0.0008245456446074
83999,0.662,0.0190219292640686,0.831,22.934,0.0008380672696559
84999,0.736,0.0191231162548065,0.868,23.034,0.0008383960406702
85999,0.512,0.0236018798351287,0.756,30.683,0.0007791870108323
86999,0.65,0.0215000479221343,0.825,27.576,0.0007893916461008
87999,0.7,0.0190916774272918,0.85,22.992,0.0008456433001854
88999,0.662,0.0187092304229736,0.831,22.54,0.0008445250942659
89999,0.66,0.0215464377403259,0.83,27.364,0.000799672459314
90999,0.6,0.0197347438335418,0.8,24.419,0.0008224617658289
91999,0.578,0.0238691809177398,0.789,31.618,0.0007702636854174
92999,0.708,0.0198762266635894,0.854,25.746,0.0007907346259379
93999,0.732,0.0156804230213165,0.866,17.287,0.0009306089596454
94999,0.778,0.0158616259098052,0.889,18.332,0.0008773365069606
95999,0.662,0.0172065203189849,0.831,19.986,0.0008730963382172
96999,0.574,0.0267641053199768,0.787,35.381,0.0007665034169572
97999,0.638,0.0216275272369384,0.819,26.919,0.0008143438662298
98999,0.578,0.0227893290519714,0.789,29.281,0.0007927917915407
99999,0.584,0.0207891330718994,0.792,25.614,0.0008228067594717
