training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.58,0.025553035736083984,0.79,22.24,0.0011513503408364203
1999,0.16,0.02907158374786377,0.58,26.74,0.0010923025061441106
2999,0.26,0.03133922815322876,0.63,29.44,0.0010703552258097867
3999,0.06,0.03793415784835816,0.53,37.05,0.001030228626049838
4999,0.44,0.03364761114120483,0.72,32.67,0.0010373076062913519
5999,0.36,0.032441279888153075,0.68,31.93,0.0010224667637587885
6999,0.48,0.03127565860748291,0.74,30.87,0.001018763833298568
7999,0.4,0.02982818365097046,0.7,28.73,0.001043965095138098
8999,0.3,0.029702017307281493,0.65,28.72,0.0010381908943979605
9999,0.48,0.03420881509780884,0.74,33.85,0.0010182004764286677
10999,0.34,0.028794164657592772,0.67,27.85,0.0010406205490601436
11999,0.4,0.030115613937377928,0.7,28.78,0.0010542694480726313
12999,0.46,0.02996746301651001,0.73,28.7,0.0010516822149426851
13999,0.46,0.026639647483825683,0.73,24.98,0.0010752028501060612
14999,0.62,0.03447945594787598,0.81,28.71,0.0012113804090690922
15999,0.48,0.029059476852416992,0.74,24.94,0.0011707570672337257
16999,0.42,0.03006901979446411,0.71,24.76,0.001220464625525914
17999,0.56,0.02888575553894043,0.78,25.73,0.0011281532917764945
18999,0.62,0.027075269222259522,0.81,22.87,0.0011923391565181643
19999,0.52,0.028848857879638673,0.76,25.03,0.0011602850135437241
20999,0.52,0.025637810230255128,0.76,22.27,0.0011572936938230645
21999,0.64,0.029096641540527345,0.82,27.22,0.0010779279688111596
22999,0.56,0.02733428716659546,0.78,25.84,0.001062995307214518
23999,0.58,0.024742984771728517,0.79,22.99,0.0010839412384040493
24999,0.48,0.024759705066680907,0.74,23.09,0.0010782699144472716
25999,0.62,0.027418673038482666,0.81,26.09,0.0010595730129551212
26999,0.62,0.026755354404449462,0.81,25.45,0.001059683483548026
27999,0.52,0.028077366352081298,0.76,26.85,0.0010538111441780842
28999,0.5,0.028046138286590576,0.75,27.02,0.001043458239776192
29999,0.58,0.026185755729675294,0.79,24.89,0.0010573234422829594
30999,0.7,0.030039775371551513,0.85,29.12,0.0010405667253800515
31999,0.62,0.027937252521514893,0.81,26.42,0.0010653771114092318
32999,0.48,0.030339701175689696,0.74,29.41,0.0010417483882559373
33999,0.54,0.031422770023345946,0.77,30.53,0.001037073996835179
34999,0.58,0.03065626859664917,0.79,29.45,0.001049416566794905
35999,0.7,0.026338040828704834,0.85,24.78,0.0010709380838334888
36999,0.58,0.026618480682373047,0.79,24.88,0.0010790502133693175
37999,0.64,0.027249572277069093,0.82,25.63,0.0010681097441016874
38999,0.66,0.03064577579498291,0.83,29.39,0.0010522668392820406
39999,0.68,0.027389025688171385,0.84,25.87,0.001066666216571025
40999,0.72,0.02582984209060669,0.86,23.95,0.0010883020109309438
41999,0.58,0.027727901935577393,0.79,26.63,0.0010509611649192293
42999,0.64,0.025941135883331298,0.82,24.51,0.0010635834520270476
43999,0.68,0.025036070346832275,0.84,23.43,0.0010768609854605404
44999,0.68,0.02633908987045288,0.84,24.82,0.001068404781349811
45999,0.62,0.023206613063812255,0.81,21.04,0.0011138200250685958
46999,0.62,0.025084924697875977,0.81,24.13,0.0010471459993289822
47999,0.58,0.021921525001525877,0.79,20.08,0.0010972403781668392
48999,0.78,0.025503096580505372,0.89,24.73,0.0010382369898231786
49999,0.58,0.026625678539276124,0.79,23.73,0.0011332813038543498
50999,0.64,0.026853694915771484,0.82,25.49,0.001062591511659496
51999,0.78,0.023313629627227783,0.89,21.64,0.001087555533593508
52999,0.62,0.02722850799560547,0.81,25.62,0.0010718165113170384
53999,0.6,0.02786768913269043,0.8,26.61,0.001058531014977919
54999,0.76,0.0226080846786499,0.88,19.62,0.0011592678873507435
55999,0.72,0.024964497089385987,0.86,23.1,0.0010886875420745782
56999,0.56,0.02247394561767578,0.78,20.51,0.0011046315417312016
57999,0.6,0.026832962036132814,0.8,25.59,0.0010627994665204392
58999,0.64,0.02415947914123535,0.82,22.2,0.0011022461860786292
59999,0.66,0.02695443630218506,0.83,25.35,0.0010740686902819376
60999,0.58,0.02648162841796875,0.79,23.69,0.0011243854797519154
61999,0.8,0.02415102481842041,0.9,22.05,0.0011069732102616595
62999,0.64,0.022305161952972413,0.82,19.4,0.0011597684952634026
63999,0.68,0.028033244609832763,0.84,25.47,0.0011123329314465982
64999,0.5,0.02647932767868042,0.75,25.34,0.0010597345675447242
65999,0.68,0.02667039155960083,0.84,25.34,0.0010639879389129643
66999,0.7,0.023032472133636475,0.85,21.27,0.0010931125339468375
67999,0.74,0.023566105365753175,0.87,21.62,0.0010988441283600438
68999,0.6,0.031293001174926754,0.8,28.17,0.0011240953699360773
69999,0.56,0.026416804790496826,0.78,24.96,0.0010671460969051622
70999,0.7,0.02716580867767334,0.85,25.14,0.0010894154285440573
71999,0.7,0.027516722679138184,0.85,25.69,0.0010795676616620104
72999,0.76,0.024676764011383058,0.88,22.68,0.0010960566694588672
73999,0.64,0.026947953701019288,0.82,25.69,0.0010547657868105438
74999,0.7,0.029443514347076417,0.85,27.95,0.0010605030754118085
75999,0.52,0.02808100461959839,0.76,26.77,0.0010660031008649302
76999,0.64,0.027099318504333496,0.82,25.63,0.0010697399693914698
77999,0.58,0.024226968288421632,0.79,22.08,0.0011034554389238614
78999,0.72,0.023903863430023195,0.86,21.95,0.001098132524004686
79999,0.62,0.02491573095321655,0.81,23.19,0.0010855084431328872
80999,0.5,0.02795248508453369,0.75,26.36,0.00106846568842259
81999,0.68,0.025458266735076906,0.84,23.64,0.001086065143182403
82999,0.52,0.028320047855377197,0.76,27.22,0.001052001019065498
83999,0.7,0.02588603734970093,0.85,24.2,0.0010755127440207988
84999,0.78,0.028063035011291503,0.89,26.9,0.0010548687694018593
85999,0.66,0.029039788246154784,0.83,27.81,0.0010587732207837724
86999,0.66,0.026752607822418215,0.83,25.08,0.001079218834895707
87999,0.64,0.026201796531677247,0.82,24.89,0.0010599238081976307
88999,0.62,0.025960638523101806,0.81,24.6,0.0010640673162321125
89999,0.52,0.02640588045120239,0.76,23.95,0.0011159419764843785
90999,0.6,0.025958051681518556,0.8,24.54,0.0010637110300542594
91999,0.66,0.027137844562530516,0.83,25.94,0.001054886374288547
92999,0.5,0.0270320725440979,0.75,24.15,0.0011307241753996942
93999,0.6,0.028206291198730468,0.8,27.39,0.0010396051642356477
94999,0.56,0.03203416109085083,0.78,31.39,0.0010343883370471576
95999,0.74,0.026181826591491698,0.87,24.87,0.001059785721229399
96999,0.7,0.02390974998474121,0.85,22.5,0.0010763137804849965
97999,0.66,0.02147695779800415,0.83,19.77,0.0010942951215425127
98999,0.72,0.02199432611465454,0.86,19.23,0.0011487240072251463
99999,0.72,0.03023787021636963,0.86,28.75,0.0010615570724825949
