training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.154,0.07946200346946716,0.423,53.426,0.0014968901093535022
1999,0.168,0.05913829731941223,0.584,40.665,0.0014597053529794687
2999,0.004,0.06695573234558105,0.502,46.886,0.0014318164721326453
3999,-0.084,0.07290502214431763,0.458,51.298,0.0014252304659525471
4999,0.094,0.06677782940864563,0.547,46.867,0.0014280203314673068
5999,-0.26,0.08193041944503784,0.37,57.473,0.0014298482454622038
6999,-0.536,0.0899293098449707,0.232,63.749,0.0014160633319098034
7999,-0.844,0.10179191827774048,0.078,72.669,0.0014050908968242634
8999,-0.928,0.10768666386604309,0.036,77.117,0.001400461609484808
9999,-0.926,0.1077041962146759,0.037,77.275,0.0013975884713385816
10999,-0.912,0.10617346882820129,0.044,76.17,0.0013977010217482682
11999,-0.898,0.10596860527992248,0.051,75.888,0.0014012559364125537
12999,-0.872,0.10211460685729981,0.064,72.987,0.0014038052371513584
13999,-0.812,0.10270082473754882,0.094,73.274,0.001406723322567246
14999,-0.782,0.09967298841476441,0.109,71.34,0.0014025791281804126
15999,-0.7,0.21482609581947326,0.15,67.752,0.003183584330029253
16999,-0.644,0.22229794454574586,0.178,69.666,0.0032037069451531465
17999,-0.65,0.09616401863098145,0.175,68.413,0.0014108006267383461
18999,-0.568,0.09332246088981629,0.216,65.893,0.0014212210357647471
19999,-0.64,0.09660605931282043,0.18,68.828,0.0014094353664651656
20999,-0.518,0.09076744818687439,0.241,64.299,0.0014188617915892742
21999,-0.528,0.09158222842216492,0.236,64.805,0.0014204891295985307
22999,-0.45,0.09021235728263854,0.275,63.903,0.0014187707817458854
23999,-0.354,0.08579775071144104,0.323,60.915,0.0014151041445635908
24999,-0.298,0.08510232424736022,0.351,60.108,0.001420827086422942
25999,-0.33,0.0882275116443634,0.335,62.605,0.0014135358189205252
26999,-0.326,0.08803056192398072,0.337,62.691,0.0014087859111104467
27999,-0.374,0.09211783385276795,0.313,65.865,0.0014023749538922773
28999,-0.506,0.09086127734184266,0.247,64.819,0.0014064480826369704
29999,-0.418,0.09151610708236695,0.291,65.256,0.0014066378727964866
30999,-0.43,0.091583176612854,0.285,65.193,0.0014087157915358538
31999,-0.506,0.09470199680328369,0.247,67.719,0.0014021104945209236
32999,-0.476,0.09558484554290772,0.262,68.518,0.0013993136195627513
33999,-0.506,0.09310556435585023,0.247,66.43,0.001405946698909741
34999,-0.444,0.09519887852668762,0.278,68.076,0.0014025055272624072
35999,-0.426,0.0955193247795105,0.287,68.309,0.0014023810285705798
36999,-0.54,0.09797287321090699,0.23,70.309,0.0013974485864514095
37999,-0.622,0.10152776789665222,0.189,72.927,0.0013953425055084443
38999,-0.594,0.10096616578102112,0.203,72.46,0.001396678409233119
39999,-0.578,0.09920852994918823,0.211,71.238,0.0013967791013414943
40999,-0.636,0.10319241571426392,0.182,74.353,0.0013908961516054454
41999,-0.576,0.10067564558982849,0.212,72.238,0.001396939816350975
42999,-0.688,0.10249070787429809,0.156,73.765,0.0013925975230443537
43999,-0.626,0.1023819534778595,0.187,73.745,0.0013913986207991567
44999,-0.65,0.13877669095993042,0.175,75.217,0.0018508735338693958
45999,-0.63,0.102326251745224,0.185,73.5,0.0013942156845990563
46999,-0.748,0.10529791331291198,0.126,76.191,0.0013849038147939103
47999,-0.702,0.10393083095550537,0.149,75.25,0.0013839171971403138
48999,-0.696,0.10417082047462463,0.152,75.803,0.0013767048499427285
49999,-0.716,0.10174038863182068,0.142,75.04,0.001358126392726227
50999,-0.698,0.10620153522491455,0.151,76.099,0.0013979530895656584
51999,-0.732,0.10688940858840942,0.134,76.589,0.0013984884249441563
52999,-0.728,0.10536648607254029,0.136,76.227,0.0013839602889253785
53999,-0.742,0.10421719145774841,0.129,76.839,0.0013587205403559294
54999,-0.752,0.10653828072547912,0.124,76.392,0.0013971410631046996
55999,-0.746,0.1096625714302063,0.127,78.702,0.00139504209791397
56999,-0.706,0.10390274620056153,0.147,75.764,0.0013736338261382266
57999,-0.714,0.10534699249267578,0.143,76.89,0.001372468929281032
58999,-0.724,0.1047629611492157,0.138,75.202,0.0013962011528952378
59999,-0.674,0.10511751484870911,0.163,75.571,0.0013934291924463489
60999,-0.76,0.10578725576400756,0.12,77.343,0.0013710848085644566
61999,-0.758,0.10666627526283264,0.121,77.117,0.001385306845553976
62999,-0.7,0.10612216711044312,0.15,76.398,0.001391301947950916
63999,-0.734,0.10564358305931092,0.133,75.92,0.0013945068544449432
64999,-0.75,0.10578835225105286,0.125,76.956,0.0013772268554646788
65999,-0.788,0.10545830059051514,0.106,76.876,0.001374184215200505
66999,-0.726,0.1080291383266449,0.137,77.843,0.001389989333827092
67999,-0.694,0.1062432188987732,0.153,76.432,0.001392518500510981
68999,-0.78,0.10654185438156127,0.11,76.976,0.001386972272486038
69999,-0.778,0.10535585355758667,0.111,77.27,0.0013657620893426565
70999,-0.696,0.10455432891845703,0.152,75.09,0.0013949398328434762
71999,-0.692,0.09159624671936036,0.154,74.029,0.001240102428329926
72999,-0.682,0.09187973523139954,0.159,74.327,0.001239256629519679
73999,-0.594,0.09191838502883912,0.203,74.1,0.001242891675867678
74999,-0.644,0.0914490225315094,0.178,74.771,0.0012261069021840224
75999,-0.686,0.09219630241394043,0.157,75.968,0.0012152928474576782
76999,-0.684,0.09087701749801635,0.158,74.657,0.0012195513214795447
77999,-0.628,0.09169193863868713,0.186,75.205,0.001221676276531624
78999,-0.682,0.09033707690238953,0.159,74.556,0.0012143167261018414
79999,-0.638,0.09141509079933166,0.181,75.23,0.001217872510545229
80999,-0.542,0.08739876651763916,0.229,72.206,0.001213299550491561
81999,-0.562,0.08848297071456909,0.219,73.053,0.0012145468993450597
82999,-0.664,0.09044167089462281,0.168,74.61,0.001215210039529383
83999,-0.61,0.08916886901855468,0.195,73.571,0.0012147492291730226
84999,-0.606,0.08958360457420349,0.197,74.072,0.0012119435948011853
85999,-0.604,0.0887533097267151,0.198,73.4,0.0012123961445861028
86999,-0.598,0.09122134923934937,0.201,75.175,0.0012156437597496213
87999,-0.746,0.09204277658462524,0.127,76.415,0.001206815511179559
88999,-0.688,0.09285798454284667,0.156,77.109,0.0012061700140718206
89999,-0.656,0.08968522787094116,0.172,75.288,0.0011939393055229843
90999,-0.648,0.08886862421035767,0.176,74.533,0.0011943773585544803
91999,-0.68,0.09061779952049255,0.16,76.075,0.001193478500800539
92999,-0.61,0.09124608707427978,0.195,76.189,0.0011994235220372633
93999,-0.716,0.09239281845092774,0.142,77.117,0.0012004557693470934
94999,-0.686,0.09358166432380677,0.157,77.663,0.0012072284069327447
95999,-0.722,0.09578397107124328,0.139,76.917,0.00124670552540126
96999,-0.806,0.09363287925720215,0.097,77.621,0.0012091456787283936
97999,-0.76,0.09189603781700134,0.12,76.72,0.0011997010373356967
98999,-0.634,0.09005896496772767,0.183,75.165,0.0012002613069187688
99999,-0.716,0.091302978515625,0.142,76.359,0.0011984360112664773
