training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.126,0.060636818885803224,0.563,32.985,0.0018397028490526846
1999,0.176,0.05447541666030884,0.588,31.053,0.001759206245450671
2999,0.168,0.05024711799621582,0.584,28.74,0.0017528509493169027
3999,0.212,0.04957824802398682,0.606,28.342,0.0017533845853613436
4999,0.238,0.04732115268707275,0.619,26.932,0.0017620002863967968
5999,0.228,0.049815060377120975,0.614,28.324,0.0017628597847035132
6999,0.23,0.04831517314910889,0.615,27.441,0.0017652292655744156
7999,0.168,0.050315533876419065,0.584,28.763,0.0017544159121445544
8999,0.166,0.049722764015197755,0.583,28.267,0.001764912933705511
9999,0.176,0.05045804262161255,0.588,28.803,0.0017562950064330314
10999,0.17,0.05126572418212891,0.585,29.358,0.0017504169018059995
11999,0.216,0.0514472815990448,0.608,29.397,0.0017558224687641295
12999,0.256,0.05016502594947815,0.628,28.588,0.0017594794921770224
13999,0.25,0.04892337417602539,0.625,27.827,0.0017633316963613023
14999,0.272,0.04722251105308533,0.636,26.762,0.0017681202994347708
15999,0.274,0.04691144347190857,0.637,26.312,0.001788784291657915
16999,0.384,0.044132733583450316,0.692,24.878,0.0017781231950143742
17999,0.412,0.042645280838012695,0.706,24.043,0.0017774110252916854
18999,0.346,0.09755258297920227,0.673,23.62,0.004146249057859028
19999,0.44,0.09675975799560547,0.72,23.816,0.004075423418501558
20999,0.434,0.09893225240707397,0.717,23.827,0.00415905623262717
21999,0.424,0.042542205572128296,0.712,23.851,0.0017875005942542261
22999,0.42,0.04193680906295776,0.71,23.583,0.0017829799702636776
23999,0.44,0.04276201915740967,0.72,23.415,0.001828575796865677
24999,0.484,0.04270598864555359,0.742,24.137,0.0017743826942883704
25999,0.424,0.043491329669952394,0.712,24.574,0.0017755097944570492
26999,0.418,0.04382862877845764,0.709,24.795,0.0017724924864243661
27999,0.392,0.04386033821105957,0.696,24.846,0.00177066174300717
28999,0.446,0.04637868309020996,0.723,26.33,0.001767295214245903
29999,0.442,0.047582605123519896,0.721,27.376,0.0017447308770616175
30999,0.434,0.04931824827194214,0.717,28.393,0.00174226393348489
31999,0.406,0.049622470140457155,0.703,28.533,0.0017449240266608082
32999,0.378,0.05254221844673157,0.689,30.538,0.0017263802954578479
33999,0.402,0.05141979146003723,0.701,29.766,0.0017332005526442542
34999,0.404,0.05137241649627686,0.702,29.712,0.0017352423626441065
35999,0.412,0.05271078014373779,0.706,30.61,0.0017286120213266573
36999,0.392,0.05293808841705322,0.696,30.674,0.0017323440373800817
37999,0.426,0.05495665550231934,0.713,32.107,0.0017199269459812405
38999,0.378,0.053471295356750485,0.689,31.025,0.0017308869257373497
39999,0.37,0.05303106784820557,0.685,30.746,0.0017325856576023378
40999,0.35,0.05593634843826294,0.675,32.689,0.0017199465889811427
41999,0.296,0.05731222724914551,0.648,33.621,0.0017134302132262827
42999,0.294,0.05668076586723328,0.647,33.08,0.0017217001109007472
43999,0.38,0.05440956544876099,0.69,31.702,0.0017240223253011395
44999,0.366,0.05126944732666015,0.683,29.787,0.001728356143776346
45999,0.406,0.05334572696685791,0.703,31.079,0.0017246258489783074
46999,0.346,0.05696573424339294,0.673,33.26,0.0017223015680945556
47999,0.388,0.05472092342376709,0.694,31.871,0.0017258664603545075
48999,0.336,0.055900864124298094,0.668,32.709,0.0017186968696046724
49999,0.298,0.05801103568077087,0.649,33.956,0.0017169832066878435
50999,0.302,0.05601776719093323,0.651,32.751,0.0017206103916465845
51999,0.342,0.05505780076980591,0.671,32.076,0.0017264597380215777
52999,0.36,0.056464475393295285,0.68,33.007,0.0017215166858401782
53999,0.376,0.05371621608734131,0.688,31.26,0.0017274722381149144
54999,0.328,0.05514638209342956,0.664,32.156,0.0017253782910197006
55999,0.358,0.05398963570594788,0.679,31.439,0.0017272199350998488
56999,0.362,0.062150851488113404,0.681,33.284,0.0018801876837451635
