training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.32,0.053601590633392336,0.66,28.11,0.0019067679781573884
1999,0.416,0.03756092047691345,0.708,21.6,0.0017450687452271953
2999,0.538,0.03467722868919373,0.769,18.313,0.0019066653969131468
3999,0.572,0.033294000387191776,0.786,17.679,0.0018879498268692535
4999,0.584,0.03573329019546509,0.792,17.873,0.0020049373042541774
5999,0.588,0.035487639665603636,0.794,18.358,0.0019383723120291756
6999,0.594,0.03419818091392517,0.797,17.936,0.001912396066653262
7999,0.582,0.0341495053768158,0.791,17.991,0.0019029265333264792
8999,0.56,0.03597192907333374,0.78,18.98,0.0018964754674421207
9999,0.646,0.03405053782463074,0.823,18.051,0.0018923604269757155
10999,0.556,0.03599374008178711,0.778,17.474,0.0020665962126392395
11999,0.6,0.03223392987251282,0.8,17.119,0.0018826243421679965
12999,0.636,0.031353537321090696,0.818,16.469,0.0019090209023884352
13999,0.63,0.031969156742095946,0.815,16.91,0.0019331696091565947
14999,0.654,0.028976171016693114,0.827,15.223,0.0019119929605236822
15999,0.626,0.02946143651008606,0.813,15.685,0.0018817838846015612
16999,0.67,0.02818969178199768,0.835,14.648,0.00192083841206379
17999,0.622,0.027199220180511473,0.811,14.025,0.0019404612229838216
18999,0.634,0.026321194171905517,0.817,13.724,0.00191978402110123
19999,0.636,0.02673940372467041,0.818,13.935,0.001918407306316515
20999,0.616,0.02518719696998596,0.808,13.32,0.0018952602981289505
21999,0.644,0.026128833770751952,0.822,13.502,0.0019317902800857518
22999,0.608,0.026550213098526,0.804,13.701,0.0019348834186541143
23999,0.612,0.02643353796005249,0.806,13.501,0.0019595423142075748
24999,0.594,0.026806776762008665,0.797,13.589,0.001969731058586983
25999,0.642,0.02433998227119446,0.821,12.761,0.0019066039002689345
26999,0.602,0.02531741213798523,0.801,12.703,0.0019935147189665127
27999,0.64,0.02603587818145752,0.82,12.881,0.0020187335209527948
28999,0.634,0.024389366388320923,0.817,12.986,0.001877775345822346
29999,0.628,0.025936597347259522,0.814,12.812,0.002018813855909498
30999,0.696,0.026141819238662718,0.848,12.965,0.0020167037849864638
31999,0.64,0.024872546195983888,0.82,12.95,0.0019209638781658054
