training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.114,0.04061957907676697,0.557,38.101,0.0010765112510501085
1999,0.088,0.038804395914077756,0.544,37.197,0.0010485922663314017
2999,0.116,0.03752545857429505,0.558,36.018,0.0010465242053311868
3999,0.118,0.0360624098777771,0.559,35.802,0.001012312462034538
4999,0.098,0.03471617817878723,0.549,34.755,0.0010040126144628563
5999,0.168,0.0340660080909729,0.584,33.907,0.0010096387751331879
6999,0.216,0.03415377283096314,0.608,34.146,0.0010045161072541552
7999,0.214,0.03387889003753662,0.607,33.633,0.001012161358852363
8999,0.188,0.03321119236946106,0.594,32.964,0.0010122138813869353
9999,0.244,0.03380058884620667,0.622,32.757,0.0010378876057296294
10999,0.218,0.033848422288894654,0.609,32.725,0.001040047917015582
11999,0.272,0.03314717841148376,0.636,32.187,0.001033570485834853
12999,0.23,0.03323432064056397,0.615,32.169,0.001037522923713304
13999,0.238,0.032882964134216305,0.619,31.894,0.0010353622881548066
14999,0.262,0.03330351281166077,0.631,32.373,0.0010324372912972062
15999,0.316,0.03193869733810425,0.658,30.872,0.0010393039909755383
16999,0.28,0.03182999539375305,0.64,30.821,0.0010381776048933103
17999,0.268,0.03267268896102905,0.634,31.494,0.001042811309575736
18999,0.254,0.03147915720939636,0.627,30.371,0.0010408622829601798
19999,0.222,0.031871997117996216,0.611,30.675,0.0010436925309200223
20999,0.324,0.03171929430961609,0.662,30.597,0.0010407571352529766
21999,0.26,0.030670599222183226,0.63,29.294,0.0010517656620731806
22999,0.29,0.03012182307243347,0.645,28.877,0.001049436208437011
23999,0.304,0.030235219717025755,0.652,28.871,0.0010521804084293838
24999,0.266,0.029864699363708495,0.633,28.489,0.0010531528003349551
25999,0.288,0.02971882700920105,0.644,28.454,0.0010496713160752234
26999,0.32,0.03038480544090271,0.66,28.297,0.0010798480662579156
27999,0.362,0.029384371995925904,0.681,27.813,0.0010617272090765143
28999,0.308,0.02905000901222229,0.654,27.585,0.001058385997740824
29999,0.324,0.027938020706176757,0.662,26.563,0.0010569364286815584
30999,0.29,0.027676758289337158,0.645,26.201,0.0010623118383901295
31999,0.312,0.06619565463066102,0.656,25.925,0.0025671623276281603
32999,0.288,0.06863131308555603,0.644,26.294,0.002623545737006986
33999,0.332,0.06534665250778199,0.666,25.656,0.0025582697310458035
34999,0.35,0.06575014281272888,0.675,25.637,0.0025793845005289773
35999,0.374,0.026593168020248414,0.687,24.904,0.0010724250116204868
36999,0.29,0.026683539152145386,0.645,24.878,0.001077919537132981
37999,0.358,0.026376026153564453,0.679,24.618,0.0010771700061980372
38999,0.348,0.026316883325576784,0.674,24.509,0.001078834402017499
39999,0.414,0.02622555732727051,0.707,24.324,0.0010831999713973417
40999,0.374,0.025472320079803466,0.687,23.884,0.001071766669641014
41999,0.362,0.02514537525177002,0.681,23.451,0.0010769565083411162
42999,0.354,0.025158090591430662,0.677,23.458,0.001077881897300645
43999,0.44,0.025596248865127562,0.72,23.783,0.0010807693623037067
44999,0.388,0.025509093046188355,0.694,23.682,0.0010822215274701756
45999,0.388,0.025207295656204224,0.694,23.407,0.0010820944835200166
46999,0.414,0.024838937520980833,0.707,23.017,0.0010843308075972839
47999,0.402,0.024582019329071045,0.701,22.78,0.0010849267481703197
48999,0.464,0.024534266471862794,0.732,22.685,0.0010867681201183685
49999,0.462,0.02455427885055542,0.731,22.766,0.0010835381149326801
50999,0.414,0.02465731406211853,0.707,22.717,0.0010906792574003072
51999,0.466,0.023918758869171143,0.733,22.105,0.001086628497238594
52999,0.442,0.023922334909439086,0.721,22.116,0.0010870943369122497
53999,0.418,0.023942702531814575,0.709,22.11,0.0010872881551913542
54999,0.434,0.02387300944328308,0.717,22.052,0.0010870754096279365
55999,0.376,0.023518840551376343,0.688,21.568,0.001095613665267154
56999,0.376,0.023833933353424073,0.688,21.911,0.001093540387880154
57999,0.4,0.023723806619644166,0.7,21.735,0.0010979555826861396
58999,0.426,0.023989948987960814,0.713,22.116,0.001090792800033337
59999,0.378,0.023777299404144286,0.689,21.816,0.0010971138250449397
60999,0.392,0.02344183540344238,0.696,21.578,0.0010929007170122418
61999,0.456,0.02408983612060547,0.728,22.176,0.001091444098443262
62999,0.402,0.024000977993011475,0.701,22.106,0.0010908464514853805
63999,0.418,0.024092867374420165,0.709,22.17,0.0010924376069265647
64999,0.41,0.02379270339012146,0.705,21.866,0.001092137559680364
65999,0.442,0.023809057712554933,0.721,21.981,0.0010874944957389317
66999,0.428,0.02443953275680542,0.714,22.436,0.0010944700241396798
67999,0.392,0.023759690046310424,0.696,21.897,0.0010913118066747656
68999,0.428,0.02402956771850586,0.714,22.163,0.0010906913579101867
69999,0.48,0.02402653694152832,0.74,22.187,0.0010869067040765248
70999,0.444,0.023771116733551024,0.722,21.892,0.0010901223625869399
71999,0.408,0.023297616958618164,0.704,21.416,0.0010930127503406585
72999,0.392,0.023907505989074707,0.696,22.0,0.0010918905811213042
73999,0.406,0.024126999616622926,0.703,22.146,0.001093367823221697
74999,0.424,0.02433895969390869,0.712,22.456,0.0010890570647250184
75999,0.442,0.02437102389335632,0.721,22.491,0.0010877610412149742
76999,0.45,0.024184209108352662,0.725,22.329,0.0010877275224642406
77999,0.42,0.024341178178787233,0.71,22.534,0.001084249516056661
78999,0.398,0.024665837287902833,0.699,22.851,0.0010855896366023898
79999,0.388,0.024480065107345583,0.694,22.73,0.0010824553590728383
80999,0.4,0.02462945318222046,0.7,22.862,0.0010822934456956022
81999,0.458,0.0247659387588501,0.729,23.123,0.0010745366985644622
82999,0.444,0.024628445863723755,0.722,22.956,0.0010780717352912286
83999,0.442,0.024853280067443848,0.721,23.323,0.001070939456248342
84999,0.43,0.02507373285293579,0.715,23.592,0.0010689699996874334
85999,0.47,0.025545320749282837,0.735,24.012,0.001068518028608982
86999,0.406,0.025332977771759035,0.703,23.866,0.0010675478590360299
87999,0.426,0.025624013662338258,0.713,24.079,0.0010702020340622302
88999,0.448,0.02647419047355652,0.724,25.113,0.00105999197420177
89999,0.436,0.02684221148490906,0.718,25.447,0.001060797950798982
90999,0.428,0.02728334069252014,0.714,25.983,0.0010571896557118297
91999,0.418,0.028128262281417845,0.709,26.953,0.0010514028995967802
92999,0.404,0.028069329261779786,0.702,26.983,0.0010485319855111732
93999,0.434,0.0285273597240448,0.717,27.406,0.0010498554970431574
94999,0.436,0.029502295732498168,0.718,28.445,0.0010453389814863354
95999,0.422,0.028824294328689576,0.711,27.991,0.0010398909709996578
96999,0.436,0.02971804666519165,0.718,28.768,0.0010411542392350143
97999,0.412,0.03510270047187805,0.706,29.955,0.0011859522655940672
