training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.826,0.047398899793624875,0.087,91.387,0.0005188459181785583
1999,-0.554,0.04056079053878784,0.223,78.059,0.0005211446571350098
2999,-0.128,0.029695138216018678,0.436,57.525,0.0005153696227073669
3999,0.27,0.019741267681121825,0.635,38.449,0.0005112572288513183
4999,0.586,0.012217485904693603,0.793,23.305,0.000523940737247467
5999,1.0,0.0020782046318054198,1.0,4.039,0.0005136195903732663
6999,1.0,0.0020375728607177736,1.0,4.009,0.0005079804482914153
7999,1.0,0.0020537049770355223,1.0,3.936,0.0005235766830898466
8999,1.0,0.0018332624435424805,1.0,3.971,0.00046108738694872176
9999,1.0,0.0018128271102905273,1.0,4.0,0.00045313499371210734
10999,1.0,0.0017411108016967772,1.0,4.016,0.00043355597087315153
11999,1.0,0.0016069390773773193,1.0,4.088,0.0003933632606551761
12999,1.0,0.0015891199111938478,1.0,4.023,0.0003953807910283407
13999,1.0,0.0020081865787506103,1.0,4.023,0.000499820221605755
14999,1.0,0.0024267377853393556,1.0,3.962,0.0006135524954114642
15999,1.0,0.0024380366802215577,1.0,3.965,0.0006133283768381392
16999,1.0,0.0024038891792297363,1.0,4.023,0.0005971286188988458
17999,1.0,0.002783040761947632,1.0,4.053,0.0006923846415110997
18999,1.0,0.002859189987182617,1.0,4.091,0.0006973831840923854
19999,1.0,0.002614316940307617,1.0,4.005,0.0006543143556231544
20999,1.0,0.0024190263748168944,1.0,3.9,0.0006184423520451501
21999,1.0,0.0028929622173309326,1.0,3.975,0.0007237809209596543
22999,1.0,0.00272947096824646,1.0,3.947,0.0006930594875698998
23999,1.0,0.0027065696716308593,1.0,4.047,0.0006668645688465663
24999,1.0,0.0020733616352081297,1.0,3.95,0.0005245187151999701
25999,1.0,0.002169847249984741,1.0,3.881,0.0005594583568118868
26999,1.0,0.002175518035888672,1.0,4.004,0.0005461536259878249
27999,1.0,0.0018528881072998047,1.0,4.037,0.00045672006890887305
28999,1.0,0.002092421531677246,1.0,4.07,0.0005360319603057135
29999,1.0,0.0019552500247955323,1.0,4.007,0.00048816244431904384
30999,1.0,0.001692986011505127,1.0,4.028,0.0004223714544659569
31999,1.0,0.0017062537670135497,1.0,4.023,0.0004239340515363784
32999,1.0,0.0016704814434051513,1.0,4.024,0.00041489693437303814
33999,1.0,0.0018190989494323731,1.0,4.001,0.0004546403572672889
34999,1.0,0.001635988235473633,1.0,3.944,0.0004144060458455767
35999,1.0,0.0018476936817169189,1.0,4.059,0.0004551400757971264
36999,1.0,0.0019024016857147217,1.0,3.853,0.0004916988230886913
37999,1.0,0.001842005729675293,1.0,4.052,0.00045471587975819903
38999,1.0,0.0017434821128845216,1.0,3.932,0.00044406108458836874
39999,1.0,0.0017768862247467042,1.0,3.901,0.00045567446436200825
40999,1.0,0.0019412660598754883,1.0,3.968,0.0004903055537314642
41999,1.0,0.001708207368850708,1.0,4.171,0.0004100120947474525
42999,1.0,0.0014863693714141845,1.0,3.947,0.0003765353038197472
43999,1.0,0.001529782772064209,1.0,4.032,0.00037979877108619325
44999,1.0,0.001513746976852417,1.0,3.978,0.00037964593001774377
45999,1.0,0.001571444272994995,1.0,4.006,0.00039207896107719056
46999,1.0,0.0015664520263671876,1.0,3.901,0.00040085382007417226
47999,1.0,0.0015993022918701172,1.0,4.065,0.00039413887546176004
48999,1.0,0.0019077420234680175,1.0,4.002,0.00047467882008779614
49999,1.0,0.0016032540798187256,1.0,4.013,0.000398460971173786
50999,1.0,0.00166705060005188,1.0,3.983,0.0004177428063892183
51999,1.0,0.0015142619609832763,1.0,3.994,0.0003789371416682289
52999,1.0,0.0015971271991729737,1.0,3.934,0.0004096539627938044
53999,1.0,0.001502732753753662,1.0,3.969,0.00037892148381187804
54999,1.0,0.0015883142948150634,1.0,4.046,0.00039175318820135934
55999,1.0,0.0018847105503082275,1.0,4.036,0.00046897688877014886
56999,1.0,0.00160703706741333,1.0,4.045,0.00039791325501033236
57999,1.0,0.0015890834331512452,1.0,4.016,0.0003964190182231721
58999,1.0,0.0016410934925079345,1.0,4.103,0.0004003089127086458
59999,1.0,0.0015614724159240723,1.0,4.069,0.00038350910402479624
60999,1.0,0.001623638153076172,1.0,4.076,0.00040027977171398343
61999,1.0,0.001774789810180664,1.0,3.988,0.0004444620410601298
62999,1.0,0.0016026334762573242,1.0,3.912,0.0004101711823826744
63999,1.0,0.00217563009262085,1.0,4.007,0.000544281644480569
64999,1.0,0.0023556482791900635,1.0,3.957,0.0005924832389468239
65999,1.0,0.0017181792259216308,1.0,3.968,0.0004337268721489679
66999,1.0,0.0017375671863555909,1.0,4.025,0.00043178611482892716
67999,1.0,0.0016898610591888428,1.0,3.946,0.00042856801350911456
68999,1.0,0.001721813440322876,1.0,4.032,0.00042713407164528255
69999,1.0,0.0016976521015167236,1.0,4.031,0.0004203625185149057
70999,1.0,0.0017294657230377197,1.0,4.008,0.00043186447336560204
71999,1.0,0.0016904921531677246,1.0,3.878,0.00043604067507244294
72999,1.0,0.0015902678966522217,1.0,4.083,0.0003895650823911031
73999,1.0,0.0015149972438812257,1.0,3.918,0.0003874372289294288
74999,1.0,0.0015346827507019044,1.0,3.959,0.00038809104419889907
75999,1.0,0.0015421762466430664,1.0,4.001,0.00038515651793706986
76999,1.0,0.001556199550628662,1.0,4.03,0.0003858203098887489
77999,1.0,0.0013440587520599364,1.0,4.002,0.0003341037880806696
78999,1.0,0.0013482489585876466,1.0,3.983,0.000339490266640981
79999,1.0,0.0013054075241088867,1.0,3.877,0.00033607710486366636
80999,1.0,0.0013360066413879395,1.0,3.91,0.0003414563911301749
81999,1.0,0.0013485865592956542,1.0,4.041,0.00033454238914308094
82999,1.0,0.0013644979000091552,1.0,4.103,0.0003333729653131394
83999,1.0,0.0013568396568298339,1.0,4.059,0.00033381379502160207
84999,1.0,0.0013997116088867187,1.0,4.049,0.00034681647845676965
85999,1.0,0.0013330812454223633,1.0,4.0,0.00033425013508115494
86999,1.0,0.001407616138458252,1.0,3.9,0.00036149520306360156
87999,1.0,0.0016177177429199218,1.0,4.004,0.0004029682925769261
88999,1.0,0.0013229095935821534,1.0,4.008,0.00033014058215277535
89999,1.0,0.0013601558208465577,1.0,4.106,0.000331109581107185
90999,1.0,0.0013150358200073242,1.0,3.987,0.00032979432344436646
91999,1.0,0.001314215660095215,1.0,4.016,0.00032760806991940453
92999,1.0,0.0013279290199279786,1.0,3.983,0.0003345335222425915
93999,1.0,0.0014930329322814942,1.0,4.049,0.0003680690640494937
94999,1.0,0.004752212047576905,1.0,3.967,0.0012220993615332104
95999,1.0,0.0016943950653076172,1.0,4.014,0.0004288457683154515
96999,1.0,0.0013826229572296142,1.0,4.032,0.0003434606767836071
97999,1.0,0.0015503909587860107,1.0,4.029,0.0003825599000567482
98999,1.0,0.0013911454677581786,1.0,4.073,0.0003413770499683562
99999,1.0,0.0013600802421569825,1.0,4.004,0.0003381176119758969
