training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.842,0.04500821447372436,0.079,92.179,0.0004877305746078491
1999,-0.564,0.03783256196975708,0.218,78.553,0.0004861887001991272
2999,0.074,0.02261641812324524,0.537,47.874,0.0004721826926867167
3999,0.418,0.015067730903625488,0.709,31.271,0.00048433602809906006
4999,-1.0,0.04702143478393555,0.0,100.0,0.00047021434783935546
5999,-0.804,0.04089435815811157,0.098,90.298,0.0004529772138595581
6999,-1.0,0.04324114298820496,0.0,100.0,0.00043241142988204956
7999,-0.83,0.03972350215911865,0.085,91.585,0.0004338536334037781
8999,-0.536,0.03333388447761536,0.232,77.193,0.00043166626930236815
9999,-0.824,0.04198249912261963,0.088,91.288,0.00045622007846832273
10999,0.192,0.018716853618621826,0.596,42.122,0.00043812599817911785
11999,0.572,0.009962925910949707,0.786,24.548,0.0004067023184185936
12999,0.682,0.008644635915756226,0.841,19.198,0.00045024391787392754
13999,-0.494,0.03074329614639282,0.253,75.312,0.00040778481324513753
14999,1.0,0.0017041566371917725,1.0,3.918,0.0004355199444861639
15999,1.0,0.0018754825592041016,1.0,3.983,0.00047043227411451793
16999,1.0,0.0018392431735992432,1.0,4.075,0.00045085289251236687
17999,1.0,0.0020122237205505373,1.0,4.066,0.0004949782167162214
18999,1.0,0.0021648261547088624,1.0,4.021,0.0005356365090324765
19999,1.0,0.001970022678375244,1.0,4.027,0.0004901363968849182
20999,1.0,0.0019560439586639405,1.0,4.028,0.0004857863091287159
21999,1.0,0.002401531934738159,1.0,3.94,0.0006093920696349371
22999,1.0,0.0022952003479003906,1.0,4.08,0.0005646266023317973
23999,1.0,0.0026073994636535646,1.0,4.021,0.0006489404882703509
24999,1.0,0.0028353044986724855,1.0,4.05,0.0007002462409791493
25999,1.0,0.002569180965423584,1.0,4.048,0.0006342431556610834
26999,1.0,0.002702190160751343,1.0,4.018,0.0006718914866447449
27999,1.0,0.0027787654399871824,1.0,4.03,0.0006892787087531317
28999,1.0,0.0031849982738494874,1.0,4.032,0.0007918923871857779
29999,1.0,0.003785336971282959,1.0,4.035,0.0009372021277745565
30999,1.0,0.0037389373779296874,1.0,4.107,0.0009096970932824271
31999,1.0,0.0031398727893829346,1.0,4.072,0.0007666302618526277
32999,1.0,0.0029138252735137937,1.0,3.972,0.000736541481812795
33999,1.0,0.0029418909549713134,1.0,3.97,0.0007416722206842331
34999,1.0,0.002904179573059082,1.0,3.99,0.000727732951868148
35999,1.0,0.0030419886112213134,1.0,4.039,0.0007479062210945856
36999,1.0,0.0028484160900115966,1.0,3.965,0.0007141574155716669
37999,1.0,0.0029736523628234863,1.0,4.025,0.0007384910441580273
38999,1.0,0.0028759634494781496,1.0,3.941,0.0007315539530345372
39999,1.0,0.0025446135997772216,1.0,4.032,0.0006308864133698599
40999,1.0,0.0025522384643554686,1.0,4.093,0.000622991973445529
41999,1.0,0.002437911033630371,1.0,3.988,0.0006126828449113028
