training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.176,0.041975226640701295,0.412,59.975,0.0007022209938367207
1999,-0.23,0.03267620205879211,0.385,62.417,0.0005250990597407023
2999,0.21,0.02149945902824402,0.605,41.205,0.0005221940954526265
3999,0.316,0.01888569235801697,0.658,36.162,0.000524255998134613
4999,0.532,0.013561052322387695,0.766,25.955,0.0005232125536600748
5999,1.0,0.0020877342224121095,1.0,3.972,0.0005250503971463158
6999,1.0,0.002112345218658447,1.0,3.916,0.0005395779757272629
7999,1.0,0.002092043161392212,1.0,4.03,0.0005181020134971255
8999,1.0,0.002074437141418457,1.0,4.015,0.0005163261527106875
9999,0.826,0.006678954362869262,0.913,12.145,0.0005491906286421276
10999,0.666,0.01023617148399353,0.833,19.519,0.0005261772958437601
11999,0.688,0.008416025400161743,0.844,18.451,0.00045540132999420164
12999,0.382,0.016088449478149414,0.691,33.098,0.00048441717306772867
13999,0.436,0.014438327074050903,0.718,30.515,0.00046982927163441977
14999,-0.222,0.02847098684310913,0.389,61.974,0.0004604003286361694
15999,-0.238,0.02634259080886841,0.381,62.747,0.0004189888938268026
16999,-0.174,0.024921832084655763,0.413,59.625,0.0004163566780090332
17999,-0.494,0.029616113901138306,0.253,75.161,0.00039409636576970416
18999,-0.506,0.030308841466903685,0.247,75.69,0.00040024368047714235
19999,-0.534,0.036749514818191525,0.233,77.072,0.0004766339564323425
20999,-0.578,0.04294442200660706,0.211,79.239,0.0005421839141845703
21999,-0.588,0.050155388355255126,0.206,79.723,0.0006267869687080383
22999,-0.574,0.05002278637886047,0.213,79.053,0.0006310552859306335
23999,-0.684,0.05457260251045227,0.158,84.429,0.0006447022914886475
24999,-0.844,0.060716421604156495,0.078,92.278,0.0006607938265800476
25999,-0.798,0.061612019538879396,0.101,90.001,0.0006874309062957763
26999,-0.544,0.05119973874092102,0.228,77.566,0.0006609767031669617
27999,-0.54,0.07110778164863586,0.23,77.366,0.0009143701887130738
28999,-0.552,0.05587648153305054,0.224,77.968,0.0007181618165969848
29999,-0.32,0.06200179815292359,0.34,66.694,0.0009171859669685363
30999,-0.264,0.07138080930709839,0.368,63.994,0.0009496426049868266
31999,-0.268,0.05066156721115112,0.366,64.224,0.0007869890451431274
32999,-0.262,0.03544698309898377,0.369,63.929,0.0005558880726496379
33999,-0.244,0.031478700399398804,0.378,63.024,0.0005024244062105815
34999,-0.234,0.031129990577697754,0.383,62.545,0.0004991929403940836
35999,0.46,0.013592714309692383,0.73,29.331,0.00046097745974858605
36999,-0.014,0.02470902395248413,0.493,51.966,0.0004781038188934326
37999,0.432,0.016260097980499266,0.716,30.624,0.0005445605262120565
38999,0.424,0.0163934326171875,0.712,31.042,0.0005315798012415568
39999,-0.02,0.022911072254180907,0.49,52.236,0.0004416621168454488
40999,0.38,0.014075261354446412,0.69,33.191,0.0004340978145599365
41999,0.38,0.014000606775283813,0.69,33.211,0.00041989192247390746
42999,0.376,0.015517661333084106,0.688,33.373,0.0004709934155146281
43999,0.414,0.013204419136047363,0.707,31.603,0.0004182475193341573
44999,0.408,0.013571487665176392,0.704,31.819,0.00042321215391159057
45999,0.392,0.014232829332351685,0.696,32.734,0.00043294589281082154
46999,0.612,0.009735710382461548,0.806,22.245,0.00044276002804438273
47999,0.442,0.012866446495056152,0.721,30.276,0.00042120796124140423
