training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.46,0.02856569766998291,0.27,73.44,0.0003931819200515747
1999,-0.06,0.030105485916137695,0.47,54.2,0.0005409315188725789
2999,0.04,0.02659538507461548,0.52,49.49,0.0006171445608139038
3999,-0.12,0.029383747577667235,0.44,57.31,0.0005125888506571452
4999,0.22,0.019415483474731446,0.61,41.08,0.0004674144983291626
5999,0.56,0.01168811559677124,0.78,24.71,0.0004723631302515666
6999,0.6,0.010710179805755615,0.8,22.5,0.00047537829875946046
7999,1.0,0.0020217227935791014,1.0,4.32,0.000469351677667527
8999,1.0,0.0018653559684753418,1.0,3.9,0.00047601150898706347
9999,1.0,0.001912667751312256,1.0,4.11,0.00046457508064451673
10999,1.0,0.0018583178520202638,1.0,3.72,0.0004994485605330694
11999,1.0,0.0019037485122680663,1.0,4.06,0.00047165108294714065
12999,1.0,0.0018668842315673828,1.0,4.02,0.00046368497326260523
13999,1.0,0.0018494677543640136,1.0,4.18,0.0004413271007083711
14999,1.0,0.0017537808418273927,1.0,4.03,0.00043471265406835646
15999,1.0,0.0016995835304260253,1.0,3.88,0.0004376021907443092
16999,1.0,0.0018293070793151856,1.0,4.22,0.00043437680176326205
17999,1.0,0.0017135000228881835,1.0,3.95,0.0004355559235527402
18999,1.0,0.0016740179061889649,1.0,3.85,0.00043315093857901435
19999,1.0,0.0018787240982055663,1.0,4.28,0.00043906137489137194
20999,1.0,0.0016370129585266114,1.0,3.99,0.0004103270655586606
21999,1.0,0.0016147780418395996,1.0,3.92,0.0004125459761846633
22999,1.0,0.0017322230339050294,1.0,4.14,0.00041946767625354587
23999,1.0,0.001693084239959717,1.0,4.07,0.00041505499680836994
24999,1.0,0.0017278623580932618,1.0,4.21,0.0004123543557666597
25999,1.0,0.0017248725891113282,1.0,4.1,0.00042272500197092694
26999,1.0,0.001712343692779541,1.0,4.18,0.00041025994505201066
27999,1.0,0.0016130256652832032,1.0,3.94,0.00041033947467803957
28999,1.0,0.0015465259552001954,1.0,3.78,0.00040889306863149005
29999,1.0,0.0016028022766113282,1.0,3.83,0.0004201000928878784
30999,1.0,0.002844130992889404,1.0,4.12,0.0007585509220759074
31999,1.0,0.0015291881561279297,1.0,3.87,0.0003962576729910714
32999,1.0,0.0017221736907958984,1.0,4.04,0.00042545638197944276
33999,1.0,0.0016295552253723145,1.0,3.96,0.0004116230010986328
34999,1.0,0.0018019747734069824,1.0,4.1,0.00044130823725745794
35999,1.0,0.0017252922058105468,1.0,3.92,0.0004363277015231905
36999,1.0,0.0016996192932128907,1.0,3.86,0.0004397479068665277
37999,1.0,0.001784510612487793,1.0,3.98,0.0004464052858806792
38999,1.0,0.0017099261283874511,1.0,3.73,0.0004619960501080468
39999,1.0,0.002191591262817383,1.0,3.86,0.0005834562835239229
40999,1.0,0.001718897819519043,1.0,3.75,0.0004573672442209153
41999,1.0,0.0018360400199890136,1.0,4.16,0.000440751314163208
42999,1.0,0.001942121982574463,1.0,4.21,0.00046045083091372536
43999,1.0,0.0018126988410949708,1.0,4.09,0.0004448753935950143
44999,1.0,0.0018766498565673828,1.0,4.19,0.00044763491267249696
45999,1.0,0.0019327712059020996,1.0,3.92,0.0004923684880847023
46999,1.0,0.0018874812126159668,1.0,3.72,0.0005071623325347901
47999,1.0,0.0023706722259521484,1.0,4.12,0.0005726857525961739
48999,1.0,0.0018469738960266114,1.0,3.7,0.0004965622368313017
49999,1.0,0.0020842695236206053,1.0,3.68,0.0005653814361208961
50999,1.0,0.0025727176666259766,1.0,3.8,0.0006686550492332095
51999,1.0,0.0024370789527893067,1.0,3.8,0.0006341332764852615
52999,1.0,0.0023282217979431153,1.0,4.03,0.0005812408810570126
53999,1.0,0.0027951693534851076,1.0,3.92,0.0007204266956874302
54999,1.0,0.0025698494911193847,1.0,3.79,0.000670131348428272
55999,1.0,0.0023735928535461425,1.0,3.9,0.0006145654576165335
56999,1.0,0.002530920505523682,1.0,3.92,0.0006458360865002587
57999,1.0,0.0024054646492004395,1.0,3.88,0.0006201027972357613
58999,1.0,0.003270862102508545,1.0,4.19,0.0007597826548985072
59999,1.0,0.0024853515625,1.0,3.78,0.000653598978405907
60999,1.0,0.002518951892852783,1.0,3.81,0.0006513278995241438
61999,1.0,0.0023712205886840822,1.0,3.93,0.0005994744527907599
62999,1.0,0.0025284886360168457,1.0,4.0,0.000627862016359965
63999,1.0,0.0029407763481140137,1.0,3.97,0.0007379888863790603
64999,1.0,0.0027137184143066406,1.0,4.02,0.000682478564126151
65999,1.0,0.002828729152679443,1.0,4.03,0.000696886834644136
66999,1.0,0.004797782897949219,1.0,4.13,0.001157615440232413
67999,1.0,0.0033244037628173827,1.0,3.9,0.0008243177504766555
68999,1.0,0.0026550531387329102,1.0,3.72,0.000716717901683989
69999,1.0,0.0033333468437194824,1.0,3.81,0.0008607981204986572
70999,1.0,0.003414642810821533,1.0,4.02,0.0008311673005421957
71999,1.0,0.0031506323814392088,1.0,4.03,0.000783159783908299
72999,1.0,0.003459053039550781,1.0,4.11,0.0008448966798328218
73999,1.0,0.002775149345397949,1.0,4.02,0.0007012263706752233
74999,1.0,0.00267254114151001,1.0,3.82,0.0006964983088629587
75999,1.0,0.002732110023498535,1.0,3.84,0.0006994660979225522
76999,1.0,0.0033812928199768067,1.0,4.02,0.0008487437168757121
77999,1.0,0.002983713150024414,1.0,4.01,0.0007453246627535139
78999,1.0,0.002576625347137451,1.0,3.93,0.0006493389492943174
79999,1.0,0.0027295947074890137,1.0,3.95,0.0006965338445845104
80999,1.0,0.0028055739402770997,1.0,3.85,0.0007213932332538423
81999,1.0,0.0028978633880615235,1.0,3.82,0.0007912884269441877
82999,1.0,0.0029767370223999024,1.0,4.08,0.0007289832773662749
83999,1.0,0.0029328083992004395,1.0,4.12,0.0007097084068116687
84999,1.0,0.0026671600341796873,1.0,3.63,0.0007293550684338524
85999,1.0,0.002982919216156006,1.0,4.04,0.0007286608162380401
86999,1.0,0.0029344654083251955,1.0,3.79,0.0007828115565436227
87999,1.0,0.0029613304138183592,1.0,4.06,0.0007267865112849644
88999,1.0,0.002647221088409424,1.0,3.83,0.0006851322650909423
89999,1.0,0.0026956629753112794,1.0,3.8,0.0007042576926095145
90999,1.0,0.0028120541572570802,1.0,3.98,0.0007001539468765259
91999,1.0,0.0030682373046875,1.0,4.01,0.0007671621413457961
92999,1.0,0.0028306055068969727,1.0,4.14,0.0006908122187569027
93999,1.0,0.003118889331817627,1.0,4.24,0.0007400528362819127
94999,1.0,0.0029241037368774414,1.0,3.97,0.0007298520689918882
95999,1.0,0.0027278733253479005,1.0,3.83,0.0007110407522746495
96999,1.0,0.003261756896972656,1.0,4.3,0.0007629759141377041
97999,1.0,0.003070681095123291,1.0,3.99,0.000777094670704433
98999,1.0,0.002931709289550781,1.0,4.33,0.000675834820384071
99999,1.0,0.0027502655982971193,1.0,3.94,0.0007115694568270729
