training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
99,-0.14,0.01716141939163208,0.43,58.48,0.0002911348025004069
199,-0.72,0.024776761531829835,0.14,86.24,0.0002881288290023804
299,-0.58,0.022716059684753417,0.21,79.43,0.00028399343490600586
399,-0.42,0.020416889190673828,0.29,71.51,0.00028386969566345215
499,-0.32,0.019785685539245604,0.34,66.59,0.0002978912353515625
599,-0.22,0.01787519931793213,0.39,61.75,0.0002926639397939046
699,-0.44,0.020719175338745118,0.28,72.53,0.00028611197471618653
799,-0.48,0.02143641233444214,0.26,74.48,0.0002853863795598348
899,-0.42,0.02045090913772583,0.29,71.51,0.0002852993567784627
999,-0.52,0.02216810941696167,0.24,76.46,0.00028793989817301434
1099,-0.52,0.02204519510269165,0.24,76.44,0.0002860498348871867
1199,-0.42,0.021335585117340086,0.29,71.56,0.0002991276741027832
1299,-0.42,0.02060488224029541,0.29,71.5,0.00028902333577473957
1399,-0.5,0.021732897758483888,0.25,75.47,0.0002917344252268473
1499,-0.5,0.022068302631378173,0.25,75.47,0.0002933022975921631
1599,-0.54,0.02235673666000366,0.23,77.41,0.0002882888873418172
1699,-0.6,0.023662118911743163,0.2,80.38,0.0002947529872258504
1799,-0.5,0.02549988031387329,0.25,75.46,0.00034522597789764405
1899,-0.58,0.023296854496002196,0.21,79.34,0.0002939901828765869
1999,-0.54,0.022597296237945555,0.23,77.52,0.0002934246857961019
2099,-0.38,0.02118683099746704,0.31,69.56,0.0003038714329401652
2199,-0.36,0.019981131553649903,0.32,68.7,0.0002950841983159383
2299,-0.44,0.02375016689300537,0.28,72.62,0.00032217239538828534
2399,-0.28,0.01967049837112427,0.36,64.81,0.00030506218274434406
2499,-0.34,0.020010032653808595,0.33,67.69,0.00029764658610026044
2599,-0.3,0.019477274417877197,0.35,65.69,0.0002949024200439453
2699,-0.22,0.018045773506164552,0.39,61.85,0.00029434733390808107
2799,-0.28,0.01903527498245239,0.36,64.87,0.0002975017865498861
2899,-0.22,0.01836829662322998,0.39,61.96,0.00029599176247914634
2999,-0.28,0.01887763261795044,0.36,64.87,0.00029361193974812826
3099,-0.38,0.02020375967025757,0.31,69.73,0.0002920855681101481
3199,-0.16,0.018264939785003664,0.42,59.04,0.0003089066028594971
3299,-0.16,0.017755327224731447,0.42,58.95,0.00030220293203989666
3399,-0.36,0.02200367212295532,0.32,68.66,0.0003173404852549235
3499,-0.1,0.01680769681930542,0.45,56.08,0.000300439993540446
3599,-0.02,0.01619346618652344,0.49,52.25,0.0003070578018824259
3699,0.06,0.014218657016754151,0.53,48.28,0.00029443535804748533
3799,0.0,0.015040249824523925,0.5,51.15,0.0002955898682276408
3899,-0.18,0.018108248710632324,0.41,60.01,0.0003031623125076294
3999,-0.1,0.016688153743743897,0.45,56.06,0.0002980437914530436
4099,-0.12,0.01734360694885254,0.44,57.01,0.0003037781874338786
4199,-0.08,0.016528005599975585,0.46,55.18,0.00030155362288157144
4299,-0.22,0.018021261692047118,0.39,61.94,0.0002888830105463664
4399,-0.2,0.017870283126831053,0.4,60.93,0.0002938639402389526
4499,-0.16,0.017754712104797364,0.42,59.0,0.00030119706789652505
4599,-0.2,0.01824464797973633,0.4,61.0,0.00029887581666310627
4699,-0.08,0.016662042140960693,0.46,55.09,0.00030583035945892334
4799,-0.06,0.016317265033721925,0.47,54.18,0.00030090579986572267
4899,0.0,0.015585606098175048,0.5,51.18,0.00030321466128031415
4999,-0.02,0.016421751976013185,0.49,52.28,0.00031799139976501466
5099,0.04,0.014589202404022217,0.52,49.44,0.0003012966712315877
5199,-0.08,0.01620976209640503,0.46,55.22,0.00029291315078735353
5299,-0.18,0.018232376575469972,0.41,60.09,0.00030257906913757325
5399,-0.1,0.017295362949371337,0.45,56.07,0.0003046027819315592
5499,-0.06,0.01610886096954346,0.47,54.13,0.0003016655445098877
5599,0.08,0.014275243282318115,0.54,47.38,0.0003054407358169556
5699,0.0,0.01494293451309204,0.5,51.26,0.00029423952102661135
5799,-0.06,0.016459906101226808,0.47,54.15,0.0003063178141911825
5899,-0.14,0.01863452196121216,0.43,58.08,0.0003110622485478719
5999,-0.08,0.016383965015411377,0.46,55.22,0.0002980943202972412
6099,-0.02,0.018368535041809082,0.49,52.16,0.0003364543040593465
6199,-0.04,0.017484066486358644,0.48,53.29,0.0003189764897028605
6299,-0.12,0.01780146598815918,0.44,57.12,0.00031430233319600424
6399,-0.14,0.017148077487945557,0.43,58.08,0.00029443329175313313
6499,0.26,0.011597449779510499,0.63,38.9,0.00029894657929738363
6599,0.26,0.011737415790557862,0.63,39.08,0.0003036740144093831
6699,0.32,0.010529773235321045,0.66,35.9,0.0002927252689997355
6799,0.22,0.012284667491912841,0.61,40.8,0.0002990505377451579
6899,0.3,0.011203210353851318,0.65,37.02,0.00030607163111368816
6999,0.14,0.017611899375915528,0.57,44.74,0.00037674070994059245
7099,0.32,0.01125006914138794,0.66,35.76,0.00031593034267425536
7199,1.0,0.0012783169746398925,1.0,4.14,0.0003110243763242449
7299,0.32,0.010797584056854248,0.66,36.02,0.00029868380228678383
7399,1.0,0.0012267589569091796,1.0,4.15,0.000295038104057312
7499,1.0,0.0013201570510864259,1.0,4.45,0.0002968286957059588
7599,1.0,0.001225135326385498,1.0,4.13,0.0002964405332292829
7699,1.0,0.0012042975425720214,1.0,4.0,0.00029952157679058255
7799,1.0,0.0013289737701416015,1.0,4.47,0.00029737039974757606
7899,1.0,0.00122511625289917,1.0,4.09,0.00029906676496778217
7999,1.0,0.001253340244293213,1.0,4.29,0.00029380969206492107
8099,1.0,0.0011446833610534667,1.0,3.89,0.0002957529624303182
8199,1.0,0.0013492941856384278,1.0,4.37,0.00030907146135965985
8299,1.0,0.0012083172798156739,1.0,4.06,0.00029587110451289586
8399,1.0,0.0012447690963745116,1.0,4.07,0.00030721130825224377
8499,1.0,0.0012981081008911132,1.0,4.26,0.00030602222964877177
8599,1.0,0.0012669157981872558,1.0,4.07,0.00031245377517881846
8699,1.0,0.001310751438140869,1.0,4.3,0.0003060622555868966
8799,1.0,0.0012670373916625977,1.0,4.16,0.0003073153722853888
8899,1.0,0.0012389349937438965,1.0,4.0,0.00030844850199563165
8999,1.0,0.0011399316787719727,1.0,4.02,0.0002837960038866316
9099,1.0,0.001261012554168701,1.0,4.19,0.0002999264853341239
9199,1.0,0.0012088966369628905,1.0,4.01,0.00030101045540400915
9299,1.0,0.0013177180290222168,1.0,4.42,0.00029791032132648286
9399,1.0,0.0012360501289367676,1.0,4.18,0.0002958367835907709
9499,1.0,0.0013628506660461426,1.0,4.51,0.00029907545021602087
9599,1.0,0.0012264037132263183,1.0,4.19,0.000294542426154727
9699,1.0,0.0012078547477722167,1.0,4.03,0.0002999403306416103
9799,1.0,0.0012151813507080078,1.0,4.05,0.0002993967306046259
9899,1.0,0.0012450885772705078,1.0,4.18,0.00029599945885794504
9999,1.0,0.0012792134284973144,1.0,4.31,0.00029611652805691674
