training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
99,1.0,0.0029285335540771484,1.0,4.05,0.0007233644496826898
199,1.0,0.0031075263023376464,1.0,4.08,0.0007562871660505023
299,1.0,0.0032743144035339354,1.0,4.19,0.000781825792221796
399,1.0,0.00310558557510376,1.0,4.12,0.0007542432830447242
499,1.0,0.00288236141204834,1.0,4.0,0.0007213831061408634
599,1.0,0.00296799898147583,1.0,4.01,0.0007416121108191354
699,1.0,0.002635829448699951,1.0,3.6,0.0007285779090154739
799,1.0,0.0030870532989501955,1.0,4.24,0.0007253861994970412
899,1.0,0.0026126837730407713,1.0,3.6,0.0007258412667683193
999,1.0,0.0028347682952880857,1.0,3.9,0.0007299899033137731
1099,1.0,0.003077704906463623,1.0,4.07,0.0007549541507448469
1199,1.0,0.0029095959663391112,1.0,4.02,0.0007238428308850243
1299,1.0,0.0032914185523986814,1.0,4.33,0.0007611910615648542
1399,1.0,0.0029508328437805177,1.0,3.87,0.0007676838693164644
1499,1.0,0.0029958057403564452,1.0,3.92,0.0007603661843708584
1599,1.0,0.003089606761932373,1.0,4.12,0.000753014019557408
1699,1.0,0.002915034294128418,1.0,4.07,0.0007175546714237758
1799,1.0,0.002999145984649658,1.0,4.0,0.0007501619145983741
1899,1.0,0.00309283971786499,1.0,4.29,0.0007223187798545474
1999,1.0,0.0029860353469848633,1.0,4.11,0.0007299599761054629
2099,1.0,0.003247487545013428,1.0,4.25,0.0007653123026802426
2199,1.0,0.0032921838760375977,1.0,4.27,0.0007716323477881295
2299,1.0,0.003306550979614258,1.0,4.16,0.0007925881374449957
2399,1.0,0.00305772066116333,1.0,4.08,0.000749639698437282
2499,1.0,0.0027869462966918944,1.0,3.88,0.0007181079841795422
2599,1.0,0.00251554012298584,1.0,3.65,0.0006883464994884672
2699,1.0,0.00291825532913208,1.0,4.2,0.000694321178254627
2799,1.0,0.0030021262168884277,1.0,4.31,0.0006954485007694789
2899,1.0,0.002755777835845947,1.0,3.97,0.0006950275160017467
2999,1.0,0.002984585762023926,1.0,4.15,0.0007201255332855951
3099,1.0,0.0028828144073486327,1.0,4.14,0.0006947643359502156
3199,1.0,0.0030157279968261717,1.0,4.04,0.0007448127780641828
3299,1.0,0.0031340408325195314,1.0,3.72,0.0008162838390895299
3399,1.0,0.002879009246826172,1.0,3.88,0.0007405551501682826
3499,1.0,0.003138406276702881,1.0,4.12,0.0007683448110307966
3599,1.0,0.002842562198638916,1.0,3.99,0.0007102542831784203
3699,1.0,0.0029297590255737303,1.0,4.01,0.0007275812852950323
3799,1.0,0.0029765987396240235,1.0,3.98,0.0007506537550971622
3899,1.0,0.002971785068511963,1.0,4.13,0.0007236439046405611
3999,1.0,0.0031119227409362794,1.0,4.16,0.0007453665222440447
4099,1.0,0.003744947910308838,1.0,3.97,0.0009626885993140084
4199,1.0,0.003053867816925049,1.0,3.94,0.0007761772927783784
4299,1.0,0.003121800422668457,1.0,4.28,0.0007278324990045457
4399,1.0,0.003081185817718506,1.0,4.34,0.0007141356638499668
4499,1.0,0.002993292808532715,1.0,3.95,0.0007545400460561117
