training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
99,1.0,0.0053258764743804934,1.0,3.897,0.0013678112086795626
199,1.0,0.005461271524429321,1.0,4.027,0.0013546750766890389
299,1.0,0.005596001863479614,1.0,4.018,0.0013864025797162738
399,1.0,0.005325983047485352,1.0,3.997,0.001333426474957239
499,1.0,0.005199737548828125,1.0,3.917,0.0013266796566191175
599,1.0,0.005305331707000732,1.0,3.993,0.0013301250225021726
699,1.0,0.005309744834899903,1.0,4.002,0.0013268525867235093
799,1.0,0.0053543860912322995,1.0,4.049,0.0013223601994060334
899,1.0,0.0051950616836547855,1.0,3.935,0.0013190448738279797
999,1.0,0.005418556928634644,1.0,4.041,0.0013389101692608426
1099,1.0,0.0054263463020324705,1.0,4.091,0.0013274871650196258
1199,1.0,0.0052826528549194335,1.0,3.999,0.0013223315153803143
1299,1.0,0.005103639841079712,1.0,3.86,0.0013227327443304515
1399,1.0,0.008078929424285888,1.0,3.968,0.0018911257596242995
1499,1.0,0.0066269047260284425,1.0,3.895,0.001706766646816617
1599,1.0,0.005236713647842407,1.0,3.982,0.0013142749076797849
1699,1.0,0.005270764112472535,1.0,4.002,0.001317638161068871
1799,1.0,0.005325835943222046,1.0,4.047,0.0013167044083277385
1899,1.0,0.005363837003707885,1.0,4.072,0.0013172421086402166
1999,1.0,0.04643724274635315,1.0,4.016,0.02184877956254142
2099,1.0,0.0053952779769897465,1.0,3.982,0.0013545766047069004
2199,1.0,0.005622892379760742,1.0,4.076,0.00137534575235276
2299,1.0,0.005531714677810669,1.0,4.037,0.001369688920747666
2399,1.0,0.005349482297897339,1.0,4.008,0.0013354449033737184
2499,1.0,0.0054218220710754396,1.0,4.058,0.0013351988661856877
2599,1.0,0.005457114696502685,1.0,4.067,0.0013413651392573402
2699,1.0,0.005369824647903442,1.0,4.002,0.0013422180862653823
2799,1.0,0.005364857912063599,1.0,4.014,0.0013367984351657686
2899,1.0,0.005449277877807617,1.0,3.996,0.0013621216291473026
2999,1.0,0.005302525758743286,1.0,3.966,0.0013386248310407003
3099,1.0,0.005301725625991821,1.0,3.967,0.0013359833280245463
3199,1.0,0.005279612064361572,1.0,3.965,0.0013317310583023797
3299,1.0,0.0053132400512695315,1.0,3.971,0.0013376639530772254
3399,1.0,0.0053144247531890865,1.0,4.001,0.0013276994188626608
3499,1.0,0.005427235841751098,1.0,4.061,0.0013358990504628136
3599,1.0,0.005271558523178101,1.0,3.973,0.0013258799615360442
3699,1.0,0.005349209785461426,1.0,4.008,0.0013357243214334761
3799,1.0,0.005218504905700683,1.0,3.929,0.001327959049883343
3899,1.0,0.0052622084617614745,1.0,3.96,0.0013292012691497803
3999,1.0,0.00531368088722229,1.0,4.008,0.0013258335596039181
4099,1.0,0.0053977808952331546,1.0,3.995,0.0013493374563398816
4199,1.0,0.005347914457321167,1.0,4.033,0.0013250363985697429
4299,1.0,0.005317902565002442,1.0,3.933,0.0013516281037103562
4399,1.0,0.005533235549926758,1.0,4.003,0.0013806237294560386
4499,1.0,0.0052109951972961425,1.0,3.925,0.0013281560585612342
4599,1.0,0.0052706065177917484,1.0,3.972,0.0013280045304979596
4699,1.0,0.005279860019683838,1.0,3.938,0.001340547315847306
4799,1.0,0.005337024688720703,1.0,3.987,0.0013384064038594564
4899,1.0,0.0052946128845214845,1.0,3.964,0.0013348007792518253
4999,1.0,0.005321277379989624,1.0,3.995,0.0013323753686178298
5099,1.0,0.005218364000320434,1.0,3.921,0.0013319770035289582
5199,1.0,0.005406253814697266,1.0,4.056,0.0013352440283412024
5299,1.0,0.005241219043731689,1.0,3.94,0.0013303083686601548
5399,1.0,0.005301782846450806,1.0,3.991,0.0013285263033140273
5499,1.0,0.005278734445571899,1.0,3.961,0.0013331345245951697
5599,1.0,0.005387178659439087,1.0,4.042,0.0013323744421913511
5699,1.0,0.0053089094161987305,1.0,3.967,0.0013379026747885204
5799,1.0,0.00539932370185852,1.0,3.989,0.0013548633405140469
5899,1.0,0.005280621290206909,1.0,3.971,0.0013301945027850922
5999,1.0,0.005275342464447021,1.0,3.958,0.001331435667900812
6099,1.0,0.005390959739685059,1.0,4.027,0.001339820633048103
6199,1.0,0.0053656198978424075,1.0,4.024,0.0013328515143621535
6299,1.0,0.005306421041488647,1.0,3.981,0.0013335282093002684
6399,1.0,0.005376222372055053,1.0,4.017,0.001338393181278592
6499,1.0,0.005309186935424805,1.0,3.945,0.0013474923099790301
6599,1.0,0.005566442251205444,1.0,4.074,0.0013672118328866504
6699,1.0,0.005295859336853027,1.0,3.925,0.0013489539725439889
6799,1.0,0.005367857217788696,1.0,3.994,0.001344761159874144
6899,1.0,0.006026979923248291,1.0,4.084,0.0014796589153153556
6999,1.0,0.005516069412231445,1.0,4.043,0.0013654042840003967
7099,1.0,0.0054042556285858155,1.0,4.017,0.0013460708436511812
7199,1.0,0.005401965856552124,1.0,4.084,0.0013226191049530392
7299,1.0,0.005325232267379761,1.0,4.016,0.0013253179868062336
7399,1.0,0.005444589138031006,1.0,4.098,0.0013288775620006379
7499,1.0,0.005251889705657959,1.0,3.958,0.00132633798122406
7599,1.0,0.005280738115310669,1.0,3.991,0.001324319799173446
7699,1.0,0.005305402278900147,1.0,4.006,0.0013251993928636823
7799,1.0,0.005502847194671631,1.0,4.066,0.0013498168230056762
7899,1.0,0.10322016525268554,1.0,3.944,0.015337495459261394
7999,1.0,0.005230186462402343,1.0,3.931,0.0013300228397051493
8099,1.0,0.11205082726478577,1.0,3.945,0.054698840650490355
8199,1.0,0.005339644193649292,1.0,3.956,0.0013511299087887718
8299,1.0,0.0055588226318359375,1.0,4.016,0.00138566168262845
8399,1.0,0.00538261342048645,1.0,4.027,0.0013384257089524042
8499,1.0,0.005254706382751465,1.0,3.974,0.001323078577859061
8599,1.0,0.005538156270980835,1.0,4.071,0.0013605194290479024
8699,1.0,0.005473898649215698,1.0,4.095,0.001336029719738733
8799,1.0,0.005511773586273193,1.0,4.033,0.0013684422913051786
8899,1.0,0.005441661357879639,1.0,4.011,0.0013562529160862876
8999,1.0,0.005291661977767944,1.0,3.949,0.0013411672365097774
9099,1.0,0.005946338891983032,1.0,4.053,0.0014651018636567252
9199,1.0,0.005712488651275635,1.0,4.046,0.0014132004436992463
9299,1.0,0.005401594400405884,1.0,3.919,0.0013775504912648883
9399,1.0,0.005814957141876221,1.0,3.916,0.0014942022811798821
9499,1.0,0.0059638161659240725,1.0,4.032,0.001493052303223383
9599,1.0,0.00617715072631836,1.0,4.074,0.0015128450796717688
9699,1.0,0.0057602646350860594,1.0,4.051,0.0014210056378727869
9799,1.0,0.0051280205249786374,1.0,4.027,0.0012730009964534216
9899,1.0,0.0050437855720520015,1.0,3.916,0.001288204550743103
9999,1.0,0.005015195608139038,1.0,3.929,0.0012741287259828476
