training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.02,0.03771718645095825,0.49,52.209,0.0007285281586647033
1999,0.52,0.014142125368118286,0.76,26.608,0.0005330953741073608
2999,0.536,0.013709367752075196,0.768,25.884,0.0005295449018478393
3999,0.482,0.015131260871887207,0.741,28.486,0.0005315012876192729
4999,1.0,0.002366774797439575,1.0,4.457,0.0005323079134736742
5999,1.0,0.002498741626739502,1.0,4.609,0.0005429702772980644
6999,1.0,0.0024308667182922363,1.0,4.536,0.0005374599207015264
7999,1.0,0.0023742995262145995,1.0,4.529,0.0005245371818542481
8999,1.0,0.0023970391750335693,1.0,4.522,0.0005291865959053948
9999,1.0,0.0024295237064361572,1.0,4.551,0.0005346707801024119
10999,1.0,0.0020828430652618407,1.0,4.483,0.00046457824338050113
11999,1.0,0.002068653106689453,1.0,4.489,0.00046115237786656334
12999,1.0,0.002138850450515747,1.0,4.467,0.00047882185549963087
13999,1.0,0.0022187647819519045,1.0,4.63,0.00048000162641207377
14999,1.0,0.0018206479549407958,1.0,4.466,0.0004078650869074322
15999,1.0,0.001775017499923706,1.0,4.447,0.00039902299756095524
16999,1.0,0.0017955431938171387,1.0,4.466,0.00040231128476914905
17999,1.0,0.0022882230281829835,1.0,4.549,0.0005032777913979122
18999,1.0,0.002591172218322754,1.0,4.468,0.0005799708522501446
19999,1.0,0.002640528678894043,1.0,4.521,0.0005818207022689637
20999,1.0,0.0030170786380767822,1.0,4.476,0.0006800055231366838
21999,1.0,0.0027015395164489745,1.0,4.474,0.0006016453155449459
22999,1.0,0.002926687955856323,1.0,4.512,0.0006484384360767547
23999,1.0,0.0036357486248016356,1.0,4.497,0.000801089889946438
24999,1.0,0.0028983564376831054,1.0,4.431,0.000654489175762449
25999,1.0,0.002954719066619873,1.0,4.337,0.0006861545636540368
26999,1.0,0.0029776592254638673,1.0,4.5,0.0006591872496264321
27999,1.0,0.0047089123725891115,1.0,4.482,0.0010332948363962627
28999,1.0,0.0032860381603240967,1.0,4.545,0.0007294271278949011
29999,1.0,0.002917735576629639,1.0,4.405,0.0006638058580103374
30999,1.0,0.004708370923995972,1.0,4.596,0.0011935955081667218
31999,1.0,0.003230403423309326,1.0,4.61,0.0007015291035175323
32999,1.0,0.00245314359664917,1.0,4.499,0.0005454059175082615
33999,1.0,0.0027018837928771975,1.0,4.625,0.0005807413847673506
34999,1.0,0.0024445931911468506,1.0,4.536,0.000540067785410654
35999,1.0,0.0020983788967132567,1.0,4.517,0.00046353358938580467
36999,1.0,0.002060565710067749,1.0,4.473,0.0004611019724891299
37999,1.0,0.002751484155654907,1.0,4.571,0.0005989125694547381
38999,1.0,0.0021271867752075194,1.0,4.391,0.00048242928215435575
39999,1.0,0.0024348659515380858,1.0,4.546,0.0005394402021453494
40999,1.0,0.00191569185256958,1.0,4.539,0.00042369448769660225
41999,1.0,0.0019020907878875733,1.0,4.445,0.0004279618677638826
42999,1.0,0.002346848964691162,1.0,4.473,0.0005248192960307711
43999,1.0,0.0019714388847351075,1.0,4.395,0.0004488194056919643
44999,1.0,0.001937835931777954,1.0,4.452,0.00043439773888815015
45999,1.0,0.0018579442501068116,1.0,4.507,0.0004126367151737213
46999,1.0,0.002022964000701904,1.0,4.61,0.0004365321516990662
47999,1.0,0.001952380895614624,1.0,4.43,0.00044009815057118734
48999,1.0,0.0018876674175262451,1.0,4.465,0.0004227016264484042
49999,1.0,0.0019541425704956055,1.0,4.598,0.0004234116650763012
50999,1.0,0.0020392634868621824,1.0,4.535,0.0004502444945630573
51999,1.0,0.002123629570007324,1.0,4.613,0.0004614533665634337
52999,1.0,0.0018679783344268798,1.0,4.395,0.0004254769884404682
53999,1.0,0.0019113695621490478,1.0,4.447,0.00043207571534883407
54999,1.0,0.0018926308155059815,1.0,4.589,0.0004135943724995568
55999,1.0,0.0017643067836761474,1.0,4.61,0.00038330055219786506
56999,1.0,0.0017414729595184326,1.0,4.501,0.0003882226132211231
57999,1.0,0.0018405387401580812,1.0,4.518,0.0004065980125041235
58999,1.0,0.0017101938724517823,1.0,4.433,0.0003856276023955572
59999,1.0,0.0018588316440582276,1.0,4.512,0.00041129305334318254
60999,1.0,0.0017903075218200684,1.0,4.499,0.0004005676391578856
61999,1.0,0.0018413443565368653,1.0,4.527,0.0004074139702887762
62999,1.0,0.0017970969676971435,1.0,4.525,0.0003964790980021159
63999,1.0,0.0017575581073760987,1.0,4.558,0.00038613281420298983
64999,1.0,0.0017028319835662841,1.0,4.471,0.0003802999422663734
65999,1.0,0.001830852746963501,1.0,4.497,0.0004049606212547847
66999,1.0,0.0017418396472930909,1.0,4.43,0.0003940405158769517
67999,1.0,0.0017473390102386475,1.0,4.582,0.00038151123438562664
68999,1.0,0.001710165023803711,1.0,4.509,0.0003791581451892853
69999,1.0,0.0016749386787414551,1.0,4.42,0.00037945113267217364
70999,1.0,0.0016782159805297852,1.0,4.373,0.00038447397918928237
71999,1.0,0.0017607216835021974,1.0,4.528,0.00038897162278493246
72999,1.0,0.0017597553730010985,1.0,4.537,0.00038666865059307643
73999,1.0,0.0017363359928131102,1.0,4.479,0.00038818372119040715
74999,1.0,0.0016935458183288574,1.0,4.46,0.0003805922479856582
75999,1.0,0.0017430813312530517,1.0,4.453,0.00039131487352507457
76999,1.0,0.001848623275756836,1.0,4.619,0.0004011951926208678
77999,1.0,0.0018507020473480225,1.0,4.522,0.00040970522818111236
78999,1.0,0.0017584412097930908,1.0,4.366,0.0004039748753820147
79999,1.0,0.0019843990802764894,1.0,4.57,0.00043567911897386826
80999,1.0,0.001905884027481079,1.0,4.557,0.00041970572074254354
81999,1.0,0.0020088856220245362,1.0,4.435,0.00045169894723665147
82999,1.0,0.0023455514907836914,1.0,4.627,0.0005076714441889809
83999,1.0,0.002358299732208252,1.0,4.497,0.0005241190189406985
84999,1.0,0.0021666109561920164,1.0,4.504,0.0004833533866064889
85999,1.0,0.002008875131607056,1.0,4.474,0.00044786280223301476
86999,1.0,0.002096285343170166,1.0,4.613,0.0004564043555940901
87999,1.0,0.0020138180255889894,1.0,4.522,0.00044639238544872826
88999,1.0,0.001874830961227417,1.0,4.438,0.00042204753245626175
89999,1.0,0.0019866905212402343,1.0,4.58,0.0004324936423982893
90999,1.0,0.002029705762863159,1.0,4.543,0.0004454320618084499
91999,1.0,0.0020195202827453613,1.0,4.552,0.000442930349281856
92999,1.0,0.002154632568359375,1.0,4.501,0.0004822793707961128
93999,1.0,0.001731886625289917,1.0,4.54,0.0003825089426267715
94999,1.0,0.0018172702789306641,1.0,4.536,0.0004006258394036974
95999,1.0,0.001754408597946167,1.0,4.5,0.000389639858688627
96999,1.0,0.0019557881355285645,1.0,4.508,0.000435944508370899
97999,1.0,0.0017617552280426026,1.0,4.557,0.0003871018259298234
98999,1.0,0.0016521494388580323,1.0,4.42,0.00037427943774632046
99999,1.0,0.0018406715393066407,1.0,4.687,0.00039186986855098177
