training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,-0.748,0.04099140191078186,0.126,87.526,0.0004690876054763794
1999,-0.454,0.035893077611923216,0.273,73.121,0.0004920821952819824
2999,-0.266,0.03807663226127624,0.367,64.043,0.0005907233222325643
3999,0.004,0.024438230991363524,0.502,51.028,0.0004801865871747335
4999,0.238,0.019609959840774537,0.619,39.923,0.0004939442332585653
5999,0.5,0.013133536100387573,0.75,27.644,0.00047607094685236614
6999,0.752,0.007516077995300293,0.876,15.965,0.0004714810906137739
7999,1.0,0.0021876306533813476,1.0,4.598,0.00047764413300014675
8999,1.0,0.001971247434616089,1.0,4.483,0.0004400380049433027
9999,1.0,0.0019719364643096923,1.0,4.497,0.00043885712595213025
10999,1.0,0.0019256341457366943,1.0,4.405,0.00043568388450713385
11999,1.0,0.0020298604965209963,1.0,4.518,0.00044900438955851964
12999,1.0,0.001981802701950073,1.0,4.486,0.0004416924604347774
13999,1.0,0.0019600346088409423,1.0,4.505,0.0004340159472965059
14999,1.0,0.0020173208713531493,1.0,4.553,0.0004417235451085227
15999,1.0,0.0019344513416290282,1.0,4.44,0.00043580717274120873
16999,1.0,0.0018395483493804932,1.0,4.561,0.0004033875292255765
17999,1.0,0.002329313039779663,1.0,4.573,0.0004985678559257871
18999,1.0,0.0020484383106231688,1.0,4.458,0.0004714393607207707
19999,1.0,0.0018633298873901368,1.0,4.441,0.0004197151870954604
20999,1.0,0.0017878196239471435,1.0,4.345,0.0004105740643682934
21999,1.0,0.002112500429153442,1.0,4.471,0.00048247627871377127
22999,1.0,0.0018371851444244384,1.0,4.502,0.00040775567576998754
23999,1.0,0.0017926785945892333,1.0,4.447,0.0004039793945494152
24999,1.0,0.00207721471786499,1.0,4.459,0.0004599760779312679
25999,1.0,0.0018931844234466554,1.0,4.612,0.0004114049568062737
26999,1.0,0.0018244903087615966,1.0,4.556,0.0003999346571309226
27999,1.0,0.0018268442153930664,1.0,4.44,0.0004118605077266693
28999,1.0,0.0018344228267669679,1.0,4.477,0.0004101176855109987
29999,1.0,0.0019408352375030519,1.0,4.434,0.0004383920987447103
30999,1.0,0.001994868516921997,1.0,4.463,0.0004468549444561913
31999,1.0,0.001980644702911377,1.0,4.526,0.00043729068438212075
32999,1.0,0.0020733203887939454,1.0,4.49,0.0004633843515600477
33999,1.0,0.0021052563190460203,1.0,4.507,0.00046709186179297313
34999,1.0,0.00203225040435791,1.0,4.579,0.0004441003271511623
35999,1.0,0.0020841851234436035,1.0,4.44,0.00047043886610439843
36999,1.0,0.001992298126220703,1.0,4.395,0.0004543458166576567
37999,1.0,0.002270280361175537,1.0,4.54,0.0005010008215904236
38999,1.0,0.002173346996307373,1.0,4.467,0.00048647218971025375
39999,1.0,0.0022081542015075684,1.0,4.453,0.0004961833968049004
40999,1.0,0.0025942890644073484,1.0,4.535,0.0005706800633952731
41999,1.0,0.0026886584758758544,1.0,4.431,0.0006060891429583231
42999,1.0,0.0026131563186645506,1.0,4.533,0.0005790792953400385
43999,1.0,0.0027592501640319824,1.0,4.522,0.0006142549463680812
44999,1.0,0.003066206693649292,1.0,4.448,0.0006863202498072669
