training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
99,-0.536,0.0589744963645935,0.232,77.159,0.0007648800468444824
199,-0.502,0.057448752641677855,0.249,75.475,0.0007594286847114563
299,-0.502,0.05905604577064514,0.249,75.485,0.0007800698971748352
399,1.0,0.003662463188171387,1.0,4.59,0.0007960962945506686
499,1.0,0.003640806436538696,1.0,4.541,0.0007993219713370005
599,1.0,0.0036873250007629396,1.0,4.498,0.0008193594884304774
699,1.0,0.0035087876319885255,1.0,4.383,0.00079529219354902
799,1.0,0.0034877111911773683,1.0,4.413,0.000787548014379683
899,1.0,0.0035109546184539796,1.0,4.431,0.0007892243876343681
999,1.0,0.0035203485488891602,1.0,4.495,0.0007889259778317951
1099,1.0,0.003463135242462158,1.0,4.34,0.0007952759450390225
1199,1.0,0.0035196933746337892,1.0,4.485,0.000782977751323155
1299,1.0,0.0036407811641693114,1.0,4.565,0.0008035624586400532
1399,1.0,0.0035747110843658446,1.0,4.485,0.0008016895830631256
1499,1.0,0.003668673515319824,1.0,4.649,0.0007891740276699975
1599,1.0,0.0035689566135406496,1.0,4.49,0.0007911232321035295
1699,1.0,0.0033664546012878416,1.0,4.531,0.0007440799806799208
1799,1.0,0.0035628819465637206,1.0,4.459,0.0007976516016892024
1899,1.0,0.0035175154209136964,1.0,4.513,0.0007777719202495757
1999,1.0,0.003559568166732788,1.0,4.461,0.0007952572206656138
2099,1.0,0.003546116828918457,1.0,4.402,0.000802876749492827
2199,1.0,0.0036622674465179444,1.0,4.603,0.0007962354628812699
2299,1.0,0.003559696674346924,1.0,4.531,0.0007864384052299318
2399,1.0,0.003557887554168701,1.0,4.463,0.0008049701707703727
2499,1.0,0.0036255571842193604,1.0,4.573,0.000794703255380903
2599,1.0,0.003622979164123535,1.0,4.557,0.0007946883735202607
2699,1.0,0.0035939075946807863,1.0,4.547,0.0007884068472044809
2799,1.0,0.0035176758766174315,1.0,4.431,0.0007911800390198117
2899,1.0,0.0035672729015350344,1.0,4.491,0.0007992957055568695
2999,1.0,0.003428775310516357,1.0,4.389,0.0007817007039274489
3099,1.0,0.0035455477237701415,1.0,4.468,0.0007915665521508171
3199,1.0,0.0037350006103515623,1.0,4.532,0.0008309196182659694
3299,1.0,0.00360176944732666,1.0,4.479,0.0008075226457346053
3399,1.0,0.003468782186508179,1.0,4.504,0.0007668332812331972
3499,1.0,0.003280824899673462,1.0,4.39,0.000746605889853977
3599,1.0,0.0034372305870056154,1.0,4.504,0.0007627706635565985
3699,1.0,0.0035449390411376952,1.0,4.465,0.0007942921354657128
3799,1.0,0.003987873792648315,1.0,4.573,0.0008905715862909953
3899,1.0,0.0033898136615753173,1.0,4.497,0.000753368315810249
3999,1.0,0.0036022348403930665,1.0,4.407,0.0008155547581967853
4099,1.0,0.0033973381519317625,1.0,4.535,0.0007489311808631533
4199,1.0,0.003735595703125,1.0,4.47,0.000843938436394646
4299,1.0,0.0033654658794403077,1.0,4.515,0.0007466363776297796
4399,1.0,0.003324366331100464,1.0,4.427,0.0007491151006448837
4499,1.0,0.003353837490081787,1.0,4.543,0.0007369883375508444
4599,1.0,0.0036321847438812254,1.0,4.601,0.0007904057817799704
4699,1.0,0.003794079065322876,1.0,4.486,0.0008625378069423493
4799,1.0,0.003881622076034546,1.0,4.59,0.0008353671340715317
4899,1.0,0.003530435800552368,1.0,4.437,0.0007910298815795353
4999,1.0,0.0033038671016693117,1.0,4.393,0.0007513200717312949
5099,1.0,0.0037146739959716796,1.0,4.551,0.0008244076093037923
5199,1.0,0.00372226357460022,1.0,4.613,0.0008057264804840088
5299,1.0,0.003499730587005615,1.0,4.577,0.0007700464092549824
5399,1.0,0.0035302250385284423,1.0,4.557,0.0007754754622777303
5499,1.0,0.003559166193008423,1.0,4.558,0.0007784945723556337
5599,1.0,0.0034693777561187744,1.0,4.581,0.0007577399520646959
5699,1.0,0.0034295952320098876,1.0,4.489,0.0007581479228678204
5799,1.0,0.0033216149806976317,1.0,4.413,0.0007521178120658512
5899,1.0,0.003505781412124634,1.0,4.556,0.0007685088407425653
5999,1.0,0.0034631519317626955,1.0,4.491,0.0007774180778435298
6099,1.0,0.0034078149795532227,1.0,4.519,0.000753733058486666
6199,1.0,0.0033087184429168703,1.0,4.458,0.0007431140840053559
6299,1.0,0.0034436023235321044,1.0,4.522,0.0007632677986508324
6399,1.0,0.0034085311889648436,1.0,4.536,0.0007533418473743257
6499,1.0,0.003427114486694336,1.0,4.471,0.0007676238267194657
6599,1.0,0.003605922698974609,1.0,4.523,0.0008007967531681061
6699,1.0,0.0033752734661102297,1.0,4.378,0.0007739567509719304
6799,1.0,0.0036987149715423584,1.0,4.492,0.0008185819222813561
6899,1.0,0.003262822151184082,1.0,4.425,0.0007382415726071312
6999,1.0,0.003465327262878418,1.0,4.513,0.000766427123830432
7099,1.0,0.0032760515213012694,1.0,4.408,0.0007418059042521885
7199,1.0,0.0035316061973571775,1.0,4.582,0.0007727161208788554
7299,1.0,0.0033781213760375977,1.0,4.458,0.0007554070401759375
7399,1.0,0.003363548517227173,1.0,4.515,0.0007446746897129785
7499,1.0,0.0034002141952514647,1.0,4.48,0.0007616859858944302
7599,1.0,0.0034056065082550047,1.0,4.517,0.0007542328403109596
7699,1.0,0.00337717604637146,1.0,4.493,0.0007504674888792493
7799,1.0,0.003478952646255493,1.0,4.549,0.0007600986426784879
7899,1.0,0.003703108787536621,1.0,4.375,0.0008521396546136765
7999,1.0,0.003501960515975952,1.0,4.422,0.0007895026320502872
8099,1.0,0.0035497198104858397,1.0,4.52,0.0007818464032241276
8199,1.0,0.0035067574977874754,1.0,4.42,0.0007902813655989511
8299,1.0,0.003575733423233032,1.0,4.492,0.0007915205072788965
8399,1.0,0.0036449956893920897,1.0,4.538,0.0008049292033626919
8499,1.0,0.003668018579483032,1.0,4.55,0.0008122115441731044
8599,1.0,0.003431021451950073,1.0,4.414,0.0007775749856517428
8699,1.0,0.003399235486984253,1.0,4.609,0.0007373354662032354
8799,1.0,0.0036281471252441405,1.0,4.327,0.0008325979556356158
8899,1.0,0.0032873520851135255,1.0,4.362,0.0007538826573462714
8999,1.0,0.0035654404163360594,1.0,4.582,0.0007744797936507634
9099,1.0,0.003366785526275635,1.0,4.469,0.0007552864449364799
9199,1.0,0.003239882707595825,1.0,4.327,0.000748671761580876
9299,1.0,0.003544682025909424,1.0,4.507,0.0007878797738325029
9399,1.0,0.0035370047092437742,1.0,4.492,0.0007874316607202802
9499,1.0,0.0034917738437652587,1.0,4.442,0.0007866599556945619
9599,1.0,0.0036922850608825685,1.0,4.706,0.0007849301710015252
9699,1.0,0.0035404069423675536,1.0,4.429,0.0007962624268872397
9799,1.0,0.0033125267028808595,1.0,4.411,0.0007515548144068037
9899,1.0,0.0034893763065338133,1.0,4.484,0.0007737656559262956
9999,1.0,0.0034911580085754393,1.0,4.547,0.0007669665751003084
