training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.818,0.0024937031269073487,0.88,3.368,0.0007417189796765645
1999,0.875,0.002373255252838135,0.913,3.42,0.0006945350130399069
2999,0.828,0.002668999910354614,0.898,3.46,0.0007728175520896912
3999,0.879,0.00209087872505188,0.921,3.392,0.000615631886323293
4999,0.874,0.002520768404006958,0.92,3.54,0.0007146153370539347
5999,0.823,0.0022791142463684084,0.874,3.896,0.0005859556953112284
6999,0.634,0.0029475724697113036,0.759,3.91,0.0007539539138476054
7999,0.847,0.002664891481399536,0.9,3.556,0.0007485658367474874
8999,0.827,0.002428757429122925,0.884,3.645,0.0006652223547299703
9999,0.734,0.002405277967453003,0.846,3.756,0.0006405821601549785
10999,0.821,0.002923828363418579,0.868,3.866,0.0007549291451772054
11999,0.809,0.002381981134414673,0.858,3.874,0.0006129853010177612
12999,0.81,0.0023349454402923583,0.887,3.806,0.0006127388159434
13999,0.846,0.0022191312313079832,0.888,3.519,0.000630604084332784
14999,0.749,0.0022909095287323,0.83,3.637,0.0006282135009765625
15999,0.896,0.002022068738937378,0.919,3.533,0.0005720010360081991
16999,0.761,0.003578810214996338,0.845,3.656,0.0009546793540318807
17999,0.791,0.0027628958225250242,0.856,4.129,0.0006696507493654886
18999,0.918,0.0018915102481842042,0.947,3.301,0.0005727580388387044
19999,0.85,0.0021707553863525393,0.882,3.547,0.000610518205165863
20999,0.844,0.0020289998054504395,0.889,3.461,0.0005860186378161112
21999,0.499,0.002672351121902466,0.623,4.457,0.0005999965707461039
22999,0.747,0.002209784746170044,0.854,3.706,0.0005955739140510559
23999,0.883,0.002179551362991333,0.921,3.458,0.0006308181087176005
24999,0.849,0.002090306520462036,0.892,3.684,0.0005679380297660828
25999,0.819,0.0024787447452545167,0.876,3.798,0.0006521119634310405
26999,0.69,0.002507789134979248,0.786,3.897,0.000643614919980367
27999,0.83,0.0025340869426727294,0.888,3.67,0.0006898640592892964
28999,0.854,0.0023052532672882082,0.893,3.873,0.0005953998764355977
29999,0.835,0.0023200037479400634,0.897,3.711,0.0006245358030001323
30999,0.831,0.0026072843074798585,0.89,3.948,0.000660064156850179
31999,0.735,0.0022651491165161133,0.851,3.563,0.0006346603274345398
32999,0.933,0.0022601981163024904,0.948,3.329,0.0006768415530522665
33999,0.815,0.002686578273773193,0.891,3.478,0.0007721996506055197
34999,0.747,0.002541630268096924,0.844,3.739,0.0006792210141817729
35999,0.711,0.0028668296337127685,0.8,3.985,0.0007202690084775288
36999,0.71,0.0024989216327667234,0.817,3.88,0.0006431887865066528
37999,0.521,0.0022199432849884034,0.688,4.226,0.0005254175861676534
38999,0.763,0.0021050369739532473,0.845,4.027,0.0005224232951800029
39999,0.833,0.0017941818237304688,0.903,3.487,0.0005133057991663615
40999,0.796,0.0019081509113311767,0.859,3.781,0.0005051309744517009
41999,0.903,0.0019551401138305662,0.916,3.931,0.0004967346787452698
42999,0.841,0.0017273495197296144,0.905,3.499,0.0004936283151308695
43999,0.804,0.0017894043922424315,0.876,3.387,0.0005297169168790182
44999,0.855,0.0020394201278686524,0.896,3.423,0.0005945117513338724
