training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.789,0.0024146995544433595,0.873,3.441,0.000699027407169342
1999,0.851,0.0018481087684631347,0.915,3.394,0.0005447069088617961
2999,0.827,0.0018947093486785889,0.903,3.296,0.0005744706670443217
3999,0.839,0.0017640817165374756,0.88,3.719,0.0004741974751154582
4999,0.891,0.0018247995376586914,0.907,3.833,0.0004759100834528605
5999,0.809,0.001785128116607666,0.871,3.748,0.0004765163501103719
6999,0.879,0.001873734712600708,0.901,3.82,0.0004900413751602173
7999,0.851,0.001728093147277832,0.91,3.628,0.0004766558329264323
8999,0.722,0.001821483850479126,0.787,3.819,0.00047689910729726155
9999,0.813,0.0017501673698425294,0.878,3.559,0.000490760068098704
10999,0.88,0.0017954576015472411,0.913,3.749,0.0004789857586224874
11999,0.798,0.0018686726093292236,0.873,3.902,0.0004788723627726237
12999,0.635,0.0019667153358459474,0.744,4.079,0.0004817931532859802
13999,0.776,0.0019777286052703857,0.827,4.073,0.0004855508844057719
14999,0.81,0.0018541181087493896,0.844,3.856,0.00048044236103693644
15999,0.79,0.001869128942489624,0.837,3.885,0.00048067283233006795
16999,0.781,0.001800950050354004,0.847,3.791,0.0004748115380605062
17999,0.814,0.0019825165271759033,0.859,4.083,0.0004853796442349752
18999,0.89,0.0017399489879608154,0.927,3.599,0.00048375166257222493
19999,0.745,0.0017818152904510499,0.83,3.698,0.00048195443948109945
20999,0.916,0.0016142675876617432,0.942,3.359,0.00048008924722671507
21999,0.841,0.0017958269119262695,0.9,3.691,0.00048639715909957885
22999,0.822,0.0018605494499206543,0.882,3.777,0.0004923352082570394
23999,0.785,0.0019302408695220947,0.854,3.993,0.0004836887001991272
24999,0.827,0.0018428339958190918,0.882,3.798,0.000484865935643514
25999,0.859,0.0018531360626220703,0.903,3.886,0.00047627857128779095
26999,0.845,0.0018543856143951416,0.887,3.835,0.00048312061230341595
27999,0.849,0.0015741076469421387,0.909,3.258,0.00048315364519755044
28999,0.786,0.0017358007431030273,0.847,3.624,0.00047897997299830116
29999,0.718,0.0019331305027008056,0.794,3.979,0.0004857184131940206
30999,0.82,0.0017349066734313964,0.877,3.529,0.0004925566633542379
31999,0.808,0.0017577626705169679,0.863,3.656,0.00048067322572072345
32999,0.701,0.0019577908515930175,0.801,4.117,0.000475268038113912
