training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.63,0.0017617566585540771,0.764,3.971,0.00044367746909459435
1999,0.142,0.002137643814086914,0.465,4.452,0.000479942258199056
2999,0.393,0.001944573402404785,0.595,4.454,0.00043696413437525433
3999,0.388,0.0018882148265838624,0.629,4.287,0.0004405343691507975
4999,0.728,0.0014906175136566162,0.835,3.384,0.00044049271742502847
5999,0.281,0.0018584210872650147,0.553,4.241,0.0004384123206138611
6999,-0.132,0.0018639297485351562,0.4,4.233,0.0004407238483428955
7999,0.576,0.0025499753952026366,0.755,3.968,0.0006448007186253866
8999,0.695,0.0016731581687927247,0.813,3.475,0.0004813515981038411
9999,0.465,0.0020029547214508057,0.657,4.162,0.0004816795587539673
10999,0.404,0.0024250314235687255,0.579,4.516,0.0005365561207135519
11999,0.231,0.0022877111434936523,0.567,4.215,0.0005437666058540345
12999,0.366,0.002277737855911255,0.605,4.25,0.0005365564107894898
13999,0.592,0.0023281233310699463,0.726,4.383,0.0005314744194348653
14999,0.678,0.0019874792098999025,0.783,3.895,0.0005098019282023112
15999,0.174,0.0036824400424957274,0.549,4.277,0.0008523857434590658
16999,-0.016,0.0024534001350402833,0.453,4.364,0.0005616408308347067
17999,0.459,0.002507162809371948,0.633,4.371,0.0005740659753481547
18999,0.698,0.00215899920463562,0.819,3.93,0.000549067234992981
19999,0.04,0.0022941761016845703,0.461,4.12,0.0005567397475242615
20999,0.471,0.0021820027828216553,0.688,4.008,0.0005448265512784322
21999,0.562,0.002378466844558716,0.735,3.965,0.0005999982833862305
22999,0.223,0.0027125070095062255,0.48,4.548,0.0005963769237200419
23999,0.469,0.0023942270278930664,0.687,4.097,0.0005842997709910075
24999,0.399,0.002130436897277832,0.65,3.862,0.0005516262332598368
25999,0.525,0.0023028700351715088,0.717,3.968,0.0005809334595998128
26999,0.658,0.0025067892074584963,0.806,3.465,0.00072252303759257
27999,0.243,0.0025639617443084716,0.549,4.346,0.00059026780128479
28999,0.21,0.002317244529724121,0.551,4.278,0.0005417500217755636
29999,0.249,0.0023017051219940184,0.592,4.108,0.0005600884636243184
30999,0.599,0.0021842224597930907,0.761,3.931,0.0005548776229222616
31999,0.297,0.002316978216171265,0.576,4.257,0.0005443587899208069
32999,-0.063,0.0030708441734313965,0.407,4.222,0.0007265196323394776
33999,0.709,0.0024068222045898436,0.81,3.892,0.0006186162273089091
34999,0.41,0.002855959415435791,0.624,4.214,0.0006801481366157532
35999,0.433,0.002533921241760254,0.665,4.213,0.0006028284430503845
36999,0.657,0.0019684247970581056,0.79,3.484,0.0005645803014437357
37999,0.37,0.0036536920070648193,0.622,4.043,0.0008991545597712199
38999,0.266,0.002601837158203125,0.476,4.712,0.0005514520923296611
39999,0.252,0.0024421141147613523,0.519,4.366,0.0005596295118331909
40999,-0.109,0.002487858295440674,0.419,4.173,0.0005962878982226054
41999,0.28,0.0029910905361175536,0.493,4.558,0.0006582594792048136
42999,0.296,0.0024946186542510987,0.64,4.023,0.0006211023370424906
43999,0.569,0.0023740205764770507,0.737,4.042,0.0005867228984832764
44999,-0.005,0.002506723880767822,0.483,4.099,0.0006117279688517253
45999,0.199,0.0028093514442443846,0.537,4.354,0.0006459726373354593
46999,0.74,0.0022336478233337402,0.827,3.555,0.0006285645365715027
47999,0.447,0.0028096981048583982,0.666,4.09,0.0006867513338724772
48999,0.605,0.002235124588012695,0.767,3.494,0.0006410253047943116
49999,0.398,0.002612309455871582,0.664,4.09,0.0006381811459859212
50999,0.074,0.0028607323169708254,0.482,4.31,0.000664048171043396
51999,0.439,0.0026582441329956056,0.691,4.0,0.0006641976157824198
52999,0.447,0.0027097930908203125,0.653,4.051,0.0006699855883916219
53999,0.208,0.002481595516204834,0.575,4.002,0.0006196989536285401
54999,0.486,0.00261969256401062,0.698,4.034,0.0006511465748151144
55999,0.6,0.0023716139793395997,0.732,3.607,0.0006560063680013021
56999,0.109,0.0025606601238250732,0.474,4.255,0.0006009626944859823
57999,0.376,0.0026190083026885985,0.653,3.958,0.0006612566232681275
58999,0.331,0.0024882612228393553,0.626,4.114,0.0006049872001012166
59999,0.582,0.0021957359313964846,0.754,3.504,0.0006260712305704752
60999,0.485,0.002630667448043823,0.7,4.025,0.0006517082889874776
61999,0.392,0.0028546860218048096,0.596,4.268,0.0006693392157554627
62999,0.261,0.002495984077453613,0.576,4.212,0.0005918941179911296
63999,0.174,0.002858407497406006,0.551,4.097,0.000697931977113088
64999,0.193,0.0026261811256408692,0.581,3.997,0.0006565172235171
65999,0.041,0.0026022882461547853,0.448,4.353,0.000599001423517863
66999,0.665,0.0021680803298950195,0.792,3.467,0.0006261933883031209
67999,0.262,0.0026479945182800294,0.586,4.236,0.0006250251571337382
68999,0.358,0.0027388360500335694,0.608,4.217,0.0006510293364524842
69999,0.488,0.002395131826400757,0.708,3.88,0.0006161221782366435
70999,0.428,0.002542649269104004,0.672,3.962,0.0006400401751200358
71999,0.417,0.0022590682506561277,0.664,3.964,0.000569727349281311
72999,0.477,0.0026832945346832275,0.709,4.129,0.0006510536233584086
73999,0.413,0.0024687314033508302,0.667,3.916,0.0006305025418599446
74999,0.693,0.0020083136558532713,0.827,3.431,0.0005849663297335307
75999,0.697,0.0020923445224761963,0.807,3.461,0.0006046346426010131
76999,0.533,0.0020528469085693358,0.74,3.831,0.0005373907883961996
77999,0.744,0.0021475825309753417,0.846,3.804,0.0005638736724853516
78999,0.232,0.002508765935897827,0.61,4.063,0.0006178052544593811
79999,0.608,0.0021196680068969725,0.764,3.503,0.0006055197358131409
80999,0.596,0.0024032132625579836,0.736,4.077,0.0005886884172757467
