training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.55,0.0017751808166503907,0.749,3.841,0.00046201131343841554
1999,0.712,0.00170592999458313,0.825,3.77,0.00045258729457855226
2999,0.695,0.0018067443370819091,0.834,3.723,0.000485073991616567
3999,0.917,0.0014153819084167481,0.95,3.18,0.00044496416648228966
4999,0.927,0.0015057616233825684,0.95,3.316,0.00045377197265625
5999,0.885,0.0015353255271911622,0.921,3.404,0.00045133996804555256
6999,0.916,0.0015581412315368653,0.939,3.505,0.0004443827033042908
7999,0.912,0.0014105691909790039,0.944,3.175,0.00044395859638849896
8999,0.947,0.0014022443294525147,0.965,3.165,0.0004427831053733826
9999,0.931,0.0015023853778839112,0.953,3.384,0.0004437839945157369
10999,0.886,0.001581817626953125,0.922,3.537,0.0004470218499501546
11999,0.945,0.0017730956077575684,0.961,3.186,0.0005572951038678488
12999,0.917,0.0021667864322662354,0.936,3.393,0.0006371208190917969
13999,0.903,0.0037018342018127442,0.932,3.408,0.0010866100509961446
14999,0.95,0.001569523572921753,0.975,3.271,0.00047976565361022947
15999,0.937,0.0014638803005218505,0.96,3.229,0.0004531345208485921
16999,0.957,0.0014328022003173829,0.972,3.193,0.0004487693468729655
17999,0.98,0.001459564208984375,0.982,3.293,0.00044324249426523843
18999,0.947,0.0014707434177398681,0.966,3.302,0.0004452723264694214
19999,0.942,0.0014739890098571778,0.957,3.309,0.00044543864727020265
20999,0.948,0.0016018173694610596,0.961,3.509,0.00045644067525863646
21999,0.979,0.0014429244995117188,0.979,3.272,0.00044105660915374757
22999,0.851,0.001486194133758545,0.9,3.33,0.00044636173248291015
23999,0.977,0.0015261812210083008,0.977,3.345,0.0004559392253557841
24999,0.943,0.001601330518722534,0.959,3.613,0.0004431914130846659
25999,0.975,0.0014494924545288086,0.975,3.245,0.0004463668862978617
26999,0.978,0.0015485832691192628,0.978,3.429,0.00045155915419260663
27999,0.956,0.0014720382690429688,0.966,3.277,0.00044924877484639486
28999,0.963,0.0015423033237457276,0.968,3.354,0.0004598665992418925
29999,0.957,0.0015275685787200929,0.968,3.417,0.00044704360961914065
30999,0.862,0.0015550031661987305,0.907,3.495,0.00044472952683766685
31999,0.956,0.0015555551052093505,0.968,3.464,0.0004490830938021342
32999,0.856,0.0015474648475646972,0.916,3.492,0.00044316814740498863
33999,0.949,0.0016371691226959228,0.963,3.718,0.0004402393182118734
34999,0.983,0.0014683077335357667,0.985,3.36,0.00043678202629089354
35999,0.957,0.0014404537677764893,0.968,3.275,0.0004397399067878723
36999,0.997,0.001457789421081543,0.997,3.26,0.0004469703515370687
37999,0.973,0.001456766128540039,0.973,3.29,0.00044256484111150103
38999,0.974,0.0015903191566467286,0.974,3.596,0.00044222548405329384
39999,0.934,0.0015367815494537354,0.955,3.476,0.00044191623528798423
40999,0.934,0.0014680159091949464,0.949,3.333,0.00043985817829767865
41999,0.977,0.0015997955799102784,0.981,3.514,0.000455280601978302
42999,0.974,0.0015374972820281982,0.978,3.496,0.00043945741256078087
43999,0.956,0.001542349100112915,0.961,3.508,0.00043959869941075644
44999,0.984,0.0014995148181915284,0.984,3.373,0.000444197682539622
45999,0.97,0.00152247953414917,0.974,3.459,0.00044003294706344604
46999,0.974,0.0015856232643127442,0.978,3.567,0.00044453036387761435
47999,0.967,0.0015311248302459716,0.971,3.439,0.0004451989968617757
48999,0.937,0.0015138478279113768,0.958,3.438,0.00044010345538457235
49999,0.971,0.001533358097076416,0.972,3.481,0.0004403155485788981
50999,0.98,0.001590604782104492,0.98,3.619,0.00043944095770517984
51999,0.97,0.0016354832649230957,0.972,3.559,0.00045937305291493736
52999,0.969,0.0015523407459259032,0.973,3.474,0.0004466293970743815
53999,0.973,0.0014973804950714111,0.977,3.384,0.0004421121795972188
54999,0.952,0.0015210347175598144,0.965,3.421,0.00044439144134521486
55999,0.973,0.0014342963695526123,0.975,3.445,0.000416185994942983
56999,0.959,0.0014562418460845948,0.965,3.498,0.00041631716092427573
57999,0.935,0.0015740551948547363,0.944,3.709,0.0004244942545890808
58999,0.97,0.0015664279460906982,0.97,3.776,0.000414644726117452
59999,0.982,0.0014239575862884522,0.985,3.399,0.0004188511689503988
60999,0.992,0.0015066628456115723,0.992,3.565,0.0004221474885940552
61999,0.964,0.001447070360183716,0.975,3.477,0.00041596879561742146
62999,0.986,0.0016565117835998535,0.989,3.62,0.00045731089512507123
63999,0.975,0.0013774988651275636,0.98,3.312,0.00041555427710215253
64999,0.972,0.0015055389404296875,0.975,3.613,0.0004167587200800578
65999,0.976,0.0014263410568237304,0.98,3.436,0.0004150193810462952
66999,0.962,0.0013841884136199952,0.977,3.341,0.0004143068194389343
67999,0.984,0.0014341201782226564,0.987,3.467,0.000413360329469045
68999,0.982,0.0015057182312011718,0.982,3.641,0.00041354517141977944
69999,0.967,0.0013970553874969483,0.974,3.364,0.0004151516079902649
70999,0.978,0.0014840362071990966,0.978,3.596,0.0004127034385999044
71999,0.98,0.0014415020942687988,0.98,3.457,0.00041660483678181967
72999,0.954,0.0015224347114562988,0.964,3.671,0.0004146042346954346
73999,0.957,0.00161179518699646,0.957,3.873,0.0004161307732264201
74999,0.976,0.0014779772758483887,0.976,3.555,0.0004154397527376811
75999,0.969,0.0014891359806060791,0.977,3.569,0.00041711353063583376
76999,0.952,0.0014801528453826905,0.958,3.564,0.0004151881496111552
77999,0.97,0.0014717521667480468,0.973,3.543,0.00041537442207336425
