training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.703,0.002350527286529541,0.838,3.75,0.0006274721026420594
1999,0.833,0.0022617955207824706,0.899,3.543,0.000638921320438385
2999,0.742,0.0025475683212280273,0.819,4.158,0.0006124404986699423
3999,0.851,0.002383085250854492,0.899,3.774,0.0006306606769561768
4999,0.671,0.00273312520980835,0.779,4.233,0.0006452875773111979
5999,0.67,0.002367574691772461,0.78,4.109,0.0005753817081451416
6999,0.801,0.0023618907928466795,0.878,3.607,0.0006537802457809448
7999,0.703,0.002525254011154175,0.818,3.953,0.0006389991402626037
8999,0.758,0.0021264114379882814,0.85,3.4,0.0006243862271308899
9999,0.707,0.0022209279537200926,0.813,3.713,0.0005984859546025594
10999,0.768,0.0024517741203308107,0.856,4.014,0.0006115334749221802
11999,0.572,0.0027514958381652833,0.711,4.294,0.0006406862338383993
12999,0.86,0.0022013075351715087,0.921,3.482,0.000632773228486379
13999,0.819,0.0022565343379974366,0.876,3.843,0.0005879530191421509
14999,0.683,0.002656203508377075,0.78,4.205,0.0006312789877255758
15999,0.777,0.0026243462562561036,0.852,3.956,0.0006626438538233439
16999,0.67,0.0022049574851989748,0.783,3.891,0.0005659216483434042
17999,0.708,0.002509497880935669,0.82,3.832,0.0006541426062583924
18999,0.618,0.0026546792984008787,0.746,4.163,0.0006387767831484476
19999,0.71,0.0024467344284057617,0.825,3.962,0.0006188415805498759
20999,0.657,0.002558002710342407,0.791,4.074,0.0006284396688143412
21999,0.623,0.0026827378273010256,0.751,4.093,0.0006540055274963379
22999,0.71,0.0022097322940826418,0.825,3.431,0.000641584571202596
23999,0.567,0.0027596395015716552,0.735,4.152,0.000663898507754008
24999,0.541,0.002590459585189819,0.718,4.248,0.0006104466001192729
25999,0.473,0.0025949158668518066,0.701,4.063,0.0006380626122156779
26999,0.67,0.0028470666408538818,0.767,4.27,0.0006659312526384989
27999,0.714,0.0030245473384857176,0.815,4.099,0.0007379736224810283
28999,0.441,0.0032353999614715577,0.573,4.511,0.0007174965699513754
29999,0.535,0.004270201921463013,0.681,4.322,0.0009939796249071758
30999,0.88,0.002691462278366089,0.923,3.492,0.0007713797132174174
31999,0.759,0.00254336953163147,0.851,3.93,0.0006469114979108175
32999,0.866,0.0025322327613830566,0.924,3.469,0.0007298455357551575
33999,0.645,0.002306560754776001,0.793,3.627,0.0006362980326016744
34999,0.739,0.0031508207321166992,0.835,3.86,0.0008192890127499898
35999,0.619,0.0026443293094635008,0.762,4.054,0.0006545816977818807
36999,0.782,0.0025855515003204346,0.865,3.93,0.0006579082171122233
37999,0.773,0.0026889467239379883,0.864,3.817,0.0007033587376276652
38999,0.645,0.0030485005378723144,0.746,4.19,0.0007252431273460389
39999,0.516,0.0029732282161712646,0.717,4.105,0.0007227899352709453
40999,0.777,0.003309230327606201,0.871,3.683,0.000893651016553243
41999,0.83,0.0020616097450256348,0.902,3.356,0.0006136470079421997
42999,0.621,0.002604421854019165,0.762,4.067,0.000640649131933848
43999,0.839,0.002292726993560791,0.902,3.67,0.0006240617632865906
44999,0.799,0.0021925036907196045,0.871,3.572,0.0006145636320114136
45999,0.692,0.0025782132148742675,0.786,4.121,0.0006262247800827026
46999,0.703,0.003267657518386841,0.824,3.443,0.0009934770981470744
47999,0.776,0.0024741213321685792,0.855,3.969,0.0006234446922938029
48999,0.604,0.0024211018085479735,0.764,4.098,0.0005907862106959025
49999,0.833,0.0038180749416351317,0.884,3.618,0.0010553618987401325
50999,0.835,0.002423473358154297,0.88,3.811,0.0006374730666478475
51999,0.564,0.002106525421142578,0.76,3.465,0.0006071574727694193
52999,0.605,0.002560528039932251,0.728,4.201,0.000609148625532786
53999,0.652,0.0023687365055084226,0.764,4.064,0.0005822974522908528
54999,0.762,0.002473607301712036,0.84,3.835,0.0006436029434204101
55999,0.9,0.0021109635829925535,0.935,3.577,0.000590092146396637
56999,0.744,0.002638237953186035,0.855,3.774,0.0006987791498502096
57999,0.633,0.002544795989990234,0.74,4.386,0.0005791800379753113
58999,0.766,0.002268798112869263,0.843,3.667,0.0006192965308825175
59999,0.598,0.0027931246757507324,0.755,4.214,0.0006619955499966939
60999,0.897,0.0022803959846496584,0.923,3.728,0.0006102912267049154
61999,0.677,0.002306187152862549,0.796,3.676,0.0006262577811876933
62999,0.523,0.002804539203643799,0.654,4.378,0.0006399580319722493
63999,0.764,0.002115588426589966,0.847,3.626,0.0005831650177637736
64999,0.542,0.003953812837600708,0.704,4.218,0.0009387588858604431
65999,0.845,0.004019631862640381,0.9,3.651,0.0010750742395718893
66999,0.807,0.002364445924758911,0.864,3.912,0.000604335896174113
67999,0.756,0.0023340814113616943,0.85,3.864,0.0006032218019167582
68999,0.701,0.0024723706245422363,0.817,4.017,0.0006143744945526123
69999,0.52,0.0024118502140045165,0.745,3.675,0.0006563290476799011
70999,0.745,0.002528498888015747,0.849,4.008,0.0006304335077603658
71999,0.793,0.0019057230949401855,0.867,3.465,0.0005494022369384766
72999,0.814,0.002352975845336914,0.868,3.876,0.0006052623550097147
73999,0.555,0.0030152785778045656,0.659,4.454,0.000675150469938914
74999,0.695,0.0029253711700439455,0.812,4.138,0.0007125939091046651
75999,0.713,0.003084387540817261,0.781,4.14,0.0007450310905774434
76999,0.809,0.0026945219039916993,0.886,3.536,0.0007644997517267863
77999,0.653,0.0032878656387329104,0.73,4.385,0.0007490333040555318
78999,0.91,0.0018081066608428955,0.935,3.439,0.000525159204006195
79999,0.799,0.0017238683700561523,0.865,3.627,0.00047546871503194175
80999,0.883,0.0017731173038482667,0.93,3.607,0.0004915781895319621
81999,0.82,0.001816221237182617,0.869,3.531,0.0005148257573445638
82999,0.782,0.0017961945533752442,0.863,3.631,0.0004950067480405172
83999,0.791,0.0016581213474273682,0.882,3.356,0.0004944370985031128
84999,0.769,0.0016822571754455567,0.874,3.43,0.0004894927859306335
85999,0.813,0.001903869390487671,0.836,3.869,0.0004923495769500732
86999,0.75,0.0019723334312438967,0.841,3.935,0.0005007958889007569
87999,0.926,0.0018743445873260498,0.942,3.415,0.0005505700508753458
88999,0.783,0.0021717848777770997,0.846,4.052,0.0005359082102775574
89999,0.849,0.001722592830657959,0.909,3.387,0.0005084912776947021
90999,0.77,0.0017119977474212647,0.866,3.326,0.0005156061013539633
91999,0.816,0.00224819278717041,0.88,3.885,0.00057911163965861
92999,0.864,0.0019273293018341065,0.895,3.781,0.000508832569917043
93999,0.892,0.0016238024234771727,0.929,3.353,0.000484393835067749
94999,0.903,0.0016981415748596191,0.929,3.391,0.0005002106428146362
95999,0.845,0.0018544661998748779,0.889,3.454,0.0005353766957918803
96999,0.799,0.002056111812591553,0.858,4.173,0.0004929022471110026
97999,0.9,0.00220416259765625,0.924,3.688,0.0005965489029884338
98999,0.899,0.0018103251457214356,0.917,3.739,0.0004838165283203125
99999,0.856,0.0017748320102691651,0.905,3.543,0.0005005236426989237
