training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.748,0.0026013941764831544,0.817,3.628,0.0007204793850580851
1999,0.868,0.002403536081314087,0.925,3.502,0.0006851908802986145
2999,0.86,0.0026306469440460205,0.913,3.735,0.0007043917099634806
3999,0.775,0.002043720006942749,0.869,3.559,0.000574274452527364
4999,0.729,0.0017596738338470459,0.848,3.729,0.00047200087308883667
5999,0.729,0.0017693703174591065,0.849,3.601,0.000491560157140096
6999,0.685,0.0020193061828613283,0.789,4.115,0.0004907694458961487
7999,0.823,0.0017563560009002685,0.885,3.643,0.00048182411988576256
8999,0.753,0.0019079828262329101,0.819,3.987,0.00047845943371454874
9999,0.734,0.0019089953899383545,0.817,3.896,0.0004898491382598877
10999,0.814,0.0020533251762390138,0.872,4.129,0.000497588586807251
11999,0.701,0.0017156431674957276,0.809,3.521,0.0004870921532313029
12999,0.667,0.0021586575508117677,0.772,4.249,0.0005084449887275696
13999,0.835,0.0017812297344207764,0.864,3.562,0.0005000223557154337
14999,0.75,0.001984736919403076,0.827,3.983,0.0004977114160855612
15999,0.682,0.0018494284152984618,0.793,3.833,0.00048214674790700274
16999,0.73,0.0018675813674926757,0.815,3.839,0.00048633478879928587
17999,0.614,0.002095416784286499,0.723,4.296,0.00048817291657129926
18999,0.837,0.0021305766105651856,0.873,4.192,0.0005087524016698201
19999,0.787,0.0019565329551696777,0.854,4.043,0.00048387957811355593
20999,0.478,0.00208797550201416,0.634,4.269,0.0004891966899236044
21999,0.712,0.0019527349472045897,0.799,3.921,0.0004980481266975403
22999,0.634,0.0017658627033233642,0.783,3.593,0.0004905392328898112
23999,0.66,0.002089808702468872,0.769,4.164,0.0005018632968266805
24999,0.606,0.0021149864196777345,0.737,4.341,0.0004870049754778544
25999,0.53,0.0018889238834381102,0.75,3.912,0.0004828879515329997
26999,0.786,0.0017980308532714844,0.869,3.772,0.0004762411952018738
27999,0.776,0.001676797866821289,0.873,3.482,0.0004817157586415609
28999,0.661,0.001995283842086792,0.775,4.024,0.0004959476908047994
29999,0.8,0.001865938901901245,0.874,3.847,0.00048526294231414797
30999,0.841,0.0017641611099243164,0.893,3.613,0.0004880759398142497
31999,0.746,0.0019582271575927734,0.818,4.02,0.00048683220942815145
32999,0.687,0.001892585515975952,0.82,3.873,0.0004887852748235067
33999,0.769,0.0019114489555358887,0.859,3.814,0.0005013311425844828
34999,0.832,0.0023360939025878907,0.897,3.845,0.0006069133400917053
35999,0.682,0.001975653886795044,0.788,4.092,0.0004828460216522217
36999,0.799,0.0016256122589111328,0.87,3.379,0.0004806873281796773
