training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.436,0.0018720595836639404,0.67,4.137,0.00045250531037648517
1999,0.388,0.002085574150085449,0.626,4.287,0.00048637804985046386
2999,0.483,0.0017766501903533935,0.667,4.001,0.00044377857844034833
3999,0.404,0.0020025525093078614,0.616,4.6,0.0004352971116701762
4999,0.368,0.0019604854583740233,0.614,4.465,0.00043929986159006756
5999,0.708,0.0015113658905029296,0.827,3.417,0.0004419304331143697
6999,0.155,0.001770606279373169,0.539,4.027,0.00043987566232681275
7999,0.301,0.0017672147750854492,0.602,4.038,0.0004377205650011698
8999,0.663,0.0015200512409210205,0.807,3.39,0.0004481573224067688
9999,0.381,0.001945207118988037,0.606,4.404,0.0004419714649518331
10999,0.144,0.0019469599723815918,0.534,3.984,0.0004891834060351054
11999,0.155,0.0021694893836975097,0.498,4.429,0.0004897040565808614
12999,0.256,0.00225484561920166,0.491,4.567,0.0004938643097877502
13999,0.559,0.0022838096618652344,0.694,4.315,0.0005295753479003906
14999,0.09,0.00211951470375061,0.44,4.452,0.0004761301596959432
15999,0.218,0.0021966631412506103,0.569,4.222,0.0005202875852584838
16999,0.616,0.0018629457950592042,0.771,3.495,0.0005326194405555725
17999,0.08,0.0023171584606170655,0.461,4.411,0.0005261236151059468
18999,0.337,0.001998645544052124,0.598,4.211,0.00047442510922749836
19999,-0.114,0.0020174753665924074,0.391,4.214,0.00047902106046676635
20999,0.356,0.002448859453201294,0.628,4.192,0.0005844373106956482
21999,0.212,0.002597644805908203,0.484,4.577,0.0005675730069478352
22999,0.307,0.0025166683197021486,0.548,4.429,0.0005679551561673482
23999,0.651,0.001958059549331665,0.785,3.619,0.0005403578559557597
24999,0.5,0.002321089506149292,0.713,3.929,0.00059004199107488
25999,0.392,0.0022368083000183104,0.636,4.146,0.0005392712434132894
26999,0.338,0.0027646279335021974,0.537,4.513,0.0006126413186391195
27999,-0.004,0.0024051332473754884,0.435,4.311,0.0005581300775210063
28999,0.569,0.002296271324157715,0.744,3.989,0.000575965940952301
29999,-0.058,0.0026445183753967287,0.39,4.366,0.0006068048000335693
30999,0.427,0.002420168161392212,0.625,4.134,0.0005849655866622924
31999,0.637,0.0020342319011688232,0.795,3.501,0.0005807306448618571
32999,0.445,0.0025080218315124514,0.681,4.171,0.000601283331712087
33999,0.616,0.0019117407798767089,0.761,3.461,0.0005521114110946656
34999,0.444,0.003100248336791992,0.643,4.174,0.0007420963565508525
35999,0.424,0.0022017250061035156,0.666,3.923,0.0005598525881767273
36999,0.087,0.002559053421020508,0.508,4.059,0.0006313890178998311
37999,0.075,0.0026737136840820313,0.454,4.529,0.0005917721430460612
38999,0.621,0.0021307029724121095,0.781,3.847,0.0005535208940505981
39999,0.273,0.0025851876735687256,0.536,4.479,0.0005775926868120829
40999,0.262,0.00267455792427063,0.569,4.437,0.000601619001229604
41999,0.653,0.002110067844390869,0.797,3.838,0.0005504305084546407
42999,0.337,0.00261307954788208,0.638,4.097,0.00063538791735967
43999,0.29,0.0027176332473754883,0.589,4.329,0.0006261078476905823
44999,0.215,0.0030853056907653807,0.465,4.489,0.0006871250788370769
45999,0.805,0.0019568417072296142,0.87,3.453,0.0005668190280596415
46999,0.637,0.0018808431625366212,0.773,3.499,0.0005367556810379028
47999,0.24,0.0023269357681274415,0.568,4.012,0.0005801735679308573
48999,0.646,0.002674354076385498,0.763,3.932,0.0006776779929796855
49999,0.625,0.0024022302627563475,0.765,3.989,0.000601648207505544
50999,0.226,0.0024554119110107423,0.544,4.297,0.0005717233856519064
51999,0.496,0.0024248404502868652,0.702,4.083,0.0005944910685221354
52999,0.401,0.002368401050567627,0.653,4.093,0.0005800344665845235
53999,0.56,0.0021613531112670897,0.739,3.875,0.000558001991113027
54999,0.337,0.0032699742317199706,0.635,4.185,0.0007813507636388143
55999,0.618,0.0025873658657073976,0.776,4.045,0.0006388336737950643
56999,0.33,0.002429572820663452,0.615,4.058,0.0005992398818333944
57999,0.435,0.002414250373840332,0.68,4.012,0.0006017146468162537
58999,0.178,0.0023808481693267823,0.515,4.37,0.0005442675590515137
59999,0.575,0.00252579402923584,0.76,3.828,0.0006574121316274007
60999,0.781,0.002251232624053955,0.841,3.644,0.0006160615046819051
61999,0.217,0.0031950423717498778,0.516,4.485,0.0007119044701258342
62999,0.485,0.002776372671127319,0.642,4.387,0.0006333842277526856
63999,0.575,0.0025006916522979736,0.74,3.863,0.0006466314315795898
64999,0.409,0.002746860980987549,0.636,4.321,0.0006353489995002746
65999,0.549,0.002852320432662964,0.665,4.393,0.0006498809576034546
