training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.43,0.0016776895523071289,0.69,4.06,0.000413197914759318
1999,0.31,0.0016641426086425781,0.61,3.89,0.00042675058046976724
2999,0.31,0.001636838912963867,0.63,3.95,0.00041505555311838785
3999,0.45,0.001735987663269043,0.7,3.91,0.0004440552393595378
4999,0.24,0.0017936921119689941,0.59,3.96,0.00045284414291381836
5999,0.66,0.002089519500732422,0.81,3.75,0.0005565471649169922
6999,0.78,0.001454610824584961,0.88,3.6,0.0004035318295160929
7999,0.6,0.0014800453186035157,0.8,3.64,0.00040641740957895914
8999,0.6,0.0015467405319213867,0.8,3.52,0.00043852492173512776
9999,0.77,0.0015413284301757813,0.88,3.55,0.0004338466723759969
10999,0.78,0.001424098014831543,0.89,3.45,0.00041231215000152587
11999,0.77,0.002433934211730957,0.88,3.29,0.0007391490141550699
12999,0.76,0.0014017605781555175,0.88,3.39,0.00041306058565775556
13999,0.8,0.0014322829246520997,0.9,3.38,0.0004232947031656901
14999,0.9,0.0015189266204833985,0.95,3.42,0.00044437130292256674
15999,0.68,0.001524069309234619,0.84,3.3,0.0004612646500269572
16999,0.86,0.0015920281410217285,0.92,3.58,0.000443976362546285
17999,0.84,0.0014846110343933105,0.92,3.22,0.0004607770045598348
18999,0.83,0.0014834141731262208,0.91,3.31,0.00044767812887827553
19999,0.82,0.0014934277534484864,0.9,3.38,0.0004417398770650228
20999,0.88,0.0014546799659729004,0.94,3.27,0.00044500609238942463
21999,0.88,0.0015022110939025878,0.94,3.4,0.00044118793805440266
22999,0.82,0.0014524078369140625,0.9,3.29,0.0004407816727956136
23999,0.88,0.0015272855758666991,0.93,3.27,0.0004680852890014648
24999,0.76,0.0014727425575256348,0.88,3.31,0.0004454028606414795
25999,0.71,0.0014681363105773927,0.85,3.31,0.0004427205721537272
26999,0.94,0.001431152820587158,0.97,3.26,0.00043866674105326334
27999,0.91,0.0014241933822631836,0.95,3.23,0.0004412029584248861
28999,0.88,0.0014504027366638184,0.94,3.23,0.00044853866100311277
29999,0.88,0.0014460301399230957,0.93,3.26,0.0004436293045679728
30999,0.92,0.0013776612281799316,0.96,3.14,0.000438688596089681
31999,0.94,0.0013742637634277344,0.96,3.12,0.0004401813745498657
32999,0.93,0.001455540657043457,0.96,3.3,0.00044172338644663493
33999,0.83,0.002032284736633301,0.91,3.27,0.0006226993004480998
34999,0.96,0.0016475844383239747,0.98,3.19,0.0005148214101791382
35999,0.9,0.0015821075439453125,0.95,3.14,0.0005009669065475464
36999,0.87,0.0016049575805664063,0.92,3.36,0.00047764229774475097
37999,0.91,0.0013807487487792968,0.95,3.16,0.00043678359190622965
38999,0.92,0.001367638111114502,0.96,3.09,0.0004430630604426066
39999,0.9,0.0013615036010742188,0.95,3.11,0.0004371448357899984
40999,0.9,0.0013876771926879883,0.95,3.15,0.000440442164738973
41999,0.86,0.0014028120040893554,0.93,3.17,0.00044222593307495115
42999,0.94,0.0014177203178405763,0.97,3.11,0.000455392599105835
43999,0.92,0.0013435578346252441,0.96,3.15,0.00042579948902130124
44999,0.84,0.0014094281196594238,0.92,3.16,0.00044526040554046634
45999,0.9,0.0014657950401306152,0.95,3.14,0.0004671106735865275
46999,0.74,0.0014605855941772462,0.86,3.33,0.00043863141536712647
47999,0.88,0.001390526294708252,0.94,3.17,0.0004380883773167928
48999,0.96,0.001462576389312744,0.98,3.11,0.0004701487223307292
49999,0.88,0.001384742259979248,0.94,3.15,0.00043980300426483155
50999,0.9,0.0014043593406677247,0.94,3.19,0.00044028528531392413
51999,0.88,0.0013652777671813966,0.94,3.16,0.0004318298896153768
52999,1.0,0.0014100170135498047,1.0,3.15,0.00044713191191355386
53999,0.99,0.0013944101333618164,0.99,3.17,0.00043947478135426837
54999,0.93,0.001380479335784912,0.96,3.1,0.0004450693130493164
55999,0.96,0.0014062237739562989,0.98,3.16,0.00044490806261698407
56999,0.98,0.0014059948921203613,0.99,3.15,0.000446051557858785
57999,0.88,0.0014171910285949707,0.94,3.15,0.0004504843552907308
58999,0.88,0.001551535129547119,0.94,3.2,0.0004850449164708455
59999,0.94,0.0015365242958068847,0.96,3.14,0.0004890599250793457
60999,0.92,0.00138383150100708,0.96,3.15,0.0004396026929219564
61999,0.94,0.0013747334480285645,0.97,3.14,0.00043697357177734374
62999,0.96,0.0013624811172485351,0.98,3.1,0.00043899357318878175
63999,0.88,0.0014144539833068847,0.94,3.21,0.0004407338301340739
64999,0.98,0.0013689947128295897,0.99,3.14,0.00043614506721496583
65999,0.91,0.001422891616821289,0.94,3.22,0.00044227596124013263
66999,0.95,0.0013676285743713379,0.97,3.13,0.00043724854787190756
67999,0.91,0.0014047908782958984,0.95,3.18,0.00043997204303741457
68999,0.98,0.001338350772857666,0.99,3.09,0.0004329782724380493
69999,0.95,0.0013542461395263672,0.97,3.13,0.00043277502059936525
70999,0.95,0.0013749480247497558,0.96,3.18,0.00043249885241190594
71999,0.94,0.001357567310333252,0.97,3.16,0.0004292448361714681
72999,0.95,0.0013684535026550293,0.97,3.12,0.0004386003812154134
73999,0.9,0.0013786220550537109,0.94,3.16,0.0004360475937525431
74999,0.89,0.0014051008224487305,0.93,3.2,0.00043865633010864257
75999,0.9,0.001400599479675293,0.95,3.13,0.000447275439898173
76999,0.96,0.0013932442665100097,0.98,3.22,0.00043262914816538493
77999,0.97,0.0014488077163696289,0.98,3.17,0.000455955704053243
78999,0.96,0.0014001083374023436,0.97,3.2,0.00043693864345550535
79999,0.96,0.0013781332969665528,0.97,3.16,0.00043660696347554525
80999,0.92,0.0013866114616394043,0.95,3.17,0.00043710756301879885
81999,0.98,0.0014226794242858886,0.99,3.25,0.00043721318244934084
82999,1.0,0.0013531780242919923,1.0,3.13,0.00043253382047017414
83999,0.98,0.001470794677734375,0.99,3.19,0.00046080636978149413
84999,0.98,0.0014023113250732422,0.99,3.17,0.0004426119724909465
85999,0.94,0.0014261746406555177,0.97,3.23,0.0004414673646291097
86999,0.99,0.0013894104957580566,0.99,3.16,0.0004396114746729533
87999,0.96,0.0013695812225341796,0.98,3.13,0.0004378922780354818
88999,0.98,0.0013822054862976075,0.99,3.15,0.00043903927008310953
89999,0.98,0.0013866066932678224,0.99,3.16,0.00043868442376454673
90999,0.97,0.001344444751739502,0.98,3.11,0.00043228264649709065
91999,0.93,0.0014021158218383788,0.96,3.18,0.0004409136772155762
92999,0.98,0.001400458812713623,0.99,3.14,0.0004461000363032023
93999,0.95,0.0015300703048706055,0.97,3.2,0.00047654048601786296
94999,0.96,0.0014099669456481933,0.98,3.14,0.0004491440455118815
95999,0.92,0.0013864850997924805,0.96,3.14,0.0004416368802388509
96999,0.98,0.0013888955116271972,0.99,3.12,0.00044531206289927163
97999,0.94,0.001423189640045166,0.97,3.13,0.00045507887999216717
98999,0.92,0.0014288735389709473,0.96,3.22,0.0004439759651819865
99999,0.94,0.001390094757080078,0.97,3.14,0.00044243196646372477
