training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.49,0.003287341594696045,0.63,4.51,0.0007296735048294067
1999,0.37,0.003336174488067627,0.6,4.32,0.0007723675568898519
2999,0.61,0.003423001766204834,0.74,4.22,0.0008108832438786824
3999,0.76,0.0029676151275634765,0.85,3.92,0.0007570598522822062
4999,0.57,0.0029527568817138672,0.76,3.97,0.0007435609102249145
5999,0.8,0.002638368606567383,0.89,3.35,0.0007851357460021973
6999,0.82,0.002765941619873047,0.9,3.73,0.0007411367098490397
7999,0.58,0.0027312469482421876,0.76,3.68,0.0007417835394541423
8999,0.78,0.0026047229766845703,0.88,3.55,0.0007337222894032796
9999,0.9,0.0029607796669006347,0.94,3.46,0.0008553179502487182
10999,0.72,0.002776610851287842,0.85,3.52,0.0007897274494171143
11999,0.88,0.0026141786575317382,0.94,3.37,0.0007759580214818319
12999,0.86,0.0025136971473693846,0.92,3.36,0.0007490818897883097
13999,0.84,0.002674839496612549,0.92,3.32,0.0008045804103215536
14999,0.9,0.0023501420021057127,0.95,3.27,0.0007182286183039348
15999,0.86,1.628814969062805,0.92,3.32,0.4073518560727437
16999,0.93,0.002327878475189209,0.96,3.08,0.0007560438315073649
17999,0.96,0.002364354133605957,0.98,3.19,0.0007409560680389404
18999,0.92,0.0023915600776672364,0.96,3.2,0.0007474184036254883
19999,0.9,0.002292628288269043,0.95,3.11,0.000737067461013794
20999,0.96,0.0022829604148864747,0.98,3.1,0.0007363818089167277
21999,0.92,0.002480592727661133,0.96,3.17,0.0007820270856221516
22999,0.88,0.0022252798080444336,0.94,3.12,0.0007131683826446533
23999,0.93,0.002672886848449707,0.96,3.2,0.0008344606558481852
24999,0.9,0.0025203847885131836,0.95,3.16,0.0007967686653137207
25999,0.9,0.0024118733406066893,0.95,3.18,0.0007591774066289266
26999,0.92,0.0023088479042053223,0.96,3.13,0.0007378347714742025
27999,0.83,0.002325291633605957,0.91,3.2,0.0007261128028233846
28999,0.96,0.0023769116401672363,0.98,3.18,0.000747113823890686
29999,0.9,0.002315518856048584,0.95,3.15,0.0007347587744394938
30999,0.8,0.002387259006500244,0.9,3.13,0.0007625142733256022
31999,0.93,0.0023581480979919436,0.96,3.14,0.0007507529656092326
32999,0.92,0.002379918098449707,0.95,3.16,0.0007535454432169597
33999,0.9,0.002370402812957764,0.94,3.19,0.0007428473631540934
34999,0.88,0.0023369240760803224,0.94,3.1,0.0007527701059977214
35999,0.9,0.0023856425285339357,0.95,3.2,0.0007447395722071329
36999,0.86,0.0022985458374023436,0.93,3.15,0.0007300915320714315
37999,0.95,0.002407865524291992,0.97,3.19,0.0007551045417785644
38999,0.9,0.0023715949058532716,0.95,3.14,0.0007554109891255696
39999,0.93,0.002297341823577881,0.96,3.11,0.0007385408878326416
40999,0.84,0.002452797889709473,0.9,3.26,0.0007511813640594482
41999,0.93,0.0023933982849121092,0.96,3.13,0.0007648382584253947
42999,0.85,0.002386748790740967,0.92,3.17,0.000752758781115214
43999,0.86,0.002332413196563721,0.93,3.16,0.0007386396328608194
44999,0.87,0.002357606887817383,0.93,3.21,0.0007338430881500244
45999,0.86,0.0023227024078369143,0.93,3.2,0.0007261846462885539
46999,0.9,0.0023299407958984374,0.95,3.2,0.0007276825507481892
47999,0.94,0.002289748191833496,0.97,3.19,0.0007179597616195679
48999,0.92,0.0022784733772277833,0.95,3.14,0.0007252911726633708
49999,0.82,0.002312898635864258,0.9,3.17,0.0007292773723602295
50999,0.93,0.0022754716873168946,0.96,3.14,0.0007247375249862671
51999,0.93,0.0023566508293151856,0.96,3.23,0.000730386734008789
52999,0.97,0.00226942777633667,0.98,3.14,0.0007224865357081095
53999,0.91,0.0022846961021423338,0.95,3.18,0.000718355417251587
54999,0.96,0.002351136207580566,0.97,3.25,0.0007231431007385254
55999,0.89,0.00233720064163208,0.94,3.22,0.0007257311344146728
56999,0.96,0.0022863459587097166,0.98,3.14,0.0007285779714584351
57999,0.9,0.002382533550262451,0.95,3.19,0.0007470329602559407
58999,0.88,0.0022420096397399903,0.94,3.11,0.000720332662264506
59999,0.95,0.0022412967681884766,0.97,3.12,0.0007182472149531047
60999,0.94,0.0023276782035827636,0.96,3.22,0.0007222272157669067
61999,0.87,0.0022895073890686034,0.93,3.18,0.0007198984622955322
62999,0.91,0.002296428680419922,0.95,3.17,0.0007250633637110392
63999,0.88,0.0022954010963439943,0.94,3.18,0.0007223920027414958
64999,0.95,0.0023051977157592775,0.97,3.19,0.0007230080763498942
65999,0.96,0.002188475131988525,0.98,3.19,0.0006857528289159139
66999,0.99,0.0021650123596191405,0.99,3.17,0.0006830078363418579
67999,0.92,0.0021972894668579102,0.96,3.23,0.0006799222628275553
68999,0.9,0.0021025419235229494,0.95,3.17,0.0006632392406463624
69999,0.94,0.0021673893928527833,0.97,3.22,0.0006733099619547526
70999,0.86,0.002177927494049072,0.93,3.19,0.0006827958424886068
71999,0.85,0.002114262580871582,0.92,3.16,0.0006688628594080607
72999,0.92,0.0021033787727355955,0.96,3.13,0.000672029177347819
73999,0.9,0.0021121835708618163,0.95,3.14,0.0006723448038101197
74999,0.96,0.0021003031730651854,0.98,3.13,0.0006711639960606893
75999,0.92,0.0021074581146240234,0.96,3.17,0.0006648846467336019
76999,0.93,0.0020969128608703614,0.96,3.1,0.0006766601403554281
77999,0.8,0.0021277523040771486,0.9,3.14,0.0006777362028757731
78999,0.96,0.0021501612663269044,0.98,3.17,0.0006783227523167928
79999,0.88,0.002140207290649414,0.93,3.17,0.0006751648982365927
80999,0.93,0.0021208739280700684,0.96,3.12,0.0006800123453140259
81999,0.96,0.0021536970138549805,0.98,3.17,0.0006795851389567058
82999,0.96,0.0021430039405822754,0.98,3.16,0.0006784244378407796
83999,0.93,0.002128725051879883,0.96,3.15,0.0006753333409627279
84999,0.91,0.00214336633682251,0.95,3.15,0.0006803197065989176
85999,0.9,0.002142298221588135,0.95,3.19,0.000671659509340922
86999,0.88,0.002130007743835449,0.94,3.15,0.0006760666767756144
87999,0.9,0.0021426725387573243,0.95,3.15,0.0006795766353607178
88999,0.92,0.002200355529785156,0.95,3.24,0.0006781702836354573
89999,0.92,0.002129535675048828,0.96,3.15,0.0006759963432947794
90999,0.94,0.002118408679962158,0.97,3.13,0.0006764562924702962
91999,0.92,0.002107999324798584,0.96,3.11,0.0006779567400614421
92999,0.83,0.002143509387969971,0.91,3.18,0.0006742848555246989
93999,0.9,0.0021072959899902342,0.95,3.13,0.0006730178991953532
94999,0.92,0.0021447253227233885,0.95,3.18,0.0006744507153828939
95999,0.91,0.002148904800415039,0.95,3.19,0.0006739720106124878
96999,0.88,0.002127199172973633,0.94,3.17,0.0006713072458902994
97999,0.94,0.0021177482604980468,0.97,3.09,0.0006854956944783529
98999,0.92,0.0020927000045776367,0.96,3.09,0.0006772599617640178
99999,0.95,0.002155284881591797,0.96,3.2,0.0006736723184585571
