training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.733,0.00426877498626709,0.846,3.375,0.001264165461063385
1999,0.64,0.0039602875709533695,0.795,3.395,0.001165410045782725
2999,0.569,0.00495228910446167,0.76,3.417,0.0014526569803555807
3999,0.676,0.0048249738216400145,0.809,3.404,0.001411190954844157
4999,0.574,0.004305870771408081,0.762,3.367,0.0012788660883903504
5999,0.588,0.004266939878463745,0.771,3.34,0.0012763990918795269
6999,0.549,0.00420832872390747,0.754,3.348,0.0012566426237424215
7999,0.571,0.004290462493896485,0.76,3.392,0.0012645194093386333
8999,0.588,0.004209760904312134,0.773,3.375,0.0012477069695790608
9999,0.569,0.5658484771251678,0.757,3.397,0.14165999323129655
10999,0.564,0.004228057146072388,0.757,3.39,0.0012468947490056356
11999,0.535,0.0051023800373077395,0.742,3.384,0.0015032657702763875
12999,0.572,0.005177967071533203,0.761,3.371,0.0015358657519022624
13999,0.597,0.0046234500408172605,0.769,3.407,0.001357143485546112
14999,0.613,0.004755760908126831,0.776,3.431,0.0013822466929753622
15999,0.654,0.004482027292251587,0.796,3.435,0.0013047813693682353
16999,0.632,0.004507623434066773,0.786,3.416,0.0013185788989067077
17999,0.649,0.004473300218582154,0.789,3.436,0.0013017736991246542
18999,0.619,0.00892261242866516,0.786,3.403,0.002799968989690145
19999,0.608,0.010778330326080322,0.776,3.422,0.0025664629499117532
20999,0.64,0.21852086210250854,0.798,3.414,0.05484701058864593
21999,0.632,0.004542025327682495,0.782,3.446,0.0013187754392623902
22999,0.613,0.004511364936828613,0.777,3.452,0.0013061359882354736
23999,0.628,0.004554215669631958,0.778,3.451,0.0013191824674606324
24999,0.637,0.004456817626953125,0.791,3.403,0.0013100775877634685
25999,0.654,0.004553275346755981,0.8,3.4,0.001337324591477712
26999,0.641,0.004413538694381714,0.798,3.402,0.0012972524563471476
27999,0.667,0.00470964241027832,0.808,3.396,0.0013852413177490234
28999,0.681,0.004428538084030151,0.821,3.369,0.001314362339178721
29999,0.646,0.004761816024780274,0.793,3.409,0.0013973410964012146
30999,0.664,0.004399842500686645,0.813,3.364,0.0013080414255460103
31999,0.693,0.004380214929580689,0.823,3.374,0.0012976608912150065
32999,0.68,0.004867667198181152,0.818,3.354,0.0014530014952023823
33999,0.665,0.004666707754135132,0.81,3.389,0.0013755266189575195
34999,0.657,0.004375404834747314,0.801,3.388,0.0012910268306732177
35999,0.684,0.004466331481933593,0.817,3.388,0.001317879311243693
36999,0.657,0.004616372585296631,0.804,3.4,0.0013526042262713115
37999,0.642,0.0044763505458831785,0.795,3.397,0.001316720998287201
38999,0.664,0.004713550329208374,0.804,3.404,0.0013820538957913717
39999,0.685,0.004377045154571533,0.824,3.364,0.0013011720617612202
40999,0.624,0.004600307464599609,0.789,3.38,0.0013596123814582826
41999,0.652,0.004427401781082153,0.807,3.376,0.0013110582868258158
42999,0.656,0.004423759937286377,0.804,3.381,0.0013086331367492675
43999,0.646,0.004429543256759643,0.787,3.425,0.0012932129939397176
44999,0.667,0.004419116973876953,0.811,3.382,0.00130658567349116
45999,0.675,0.004453267574310303,0.81,3.422,0.0013004784186681111
46999,0.7,0.004416342496871948,0.828,3.396,0.001300114373366038
47999,0.673,0.0044297776222229,0.815,3.406,0.0013002767324447632
48999,0.636,0.004462211608886719,0.792,3.427,0.0013016440749168397
49999,0.67,0.004579654932022095,0.809,3.433,0.0013330232381820678
50999,0.648,0.004406785011291504,0.801,3.406,0.0012938377737998963
51999,0.688,0.004407510042190552,0.819,3.392,0.0012982457478841146
52999,0.679,0.004525575876235962,0.808,3.422,0.001322232190767924
53999,0.675,0.004471504688262939,0.81,3.429,0.0013032743215560913
54999,0.684,0.004418450117111206,0.821,3.387,0.0013040865381558737
55999,0.684,0.004415880680084228,0.819,3.395,0.0013007173498471578
56999,0.685,0.004435869932174682,0.819,3.403,0.0013033614555994668
57999,0.686,0.004537208318710327,0.818,3.401,0.0013337535937627157
58999,0.657,0.004370207071304321,0.807,3.343,0.0013068905194600423
59999,0.694,0.004379377365112304,0.826,3.377,0.001297082018852234
60999,0.698,0.0044231112003326415,0.829,3.409,0.0012968238989512126
61999,0.73,0.004386672258377075,0.848,3.373,0.001300162096818288
62999,0.698,0.004415671586990357,0.822,3.393,0.0013013505816459655
63999,0.675,0.004386952638626099,0.817,3.37,0.001301616354783376
64999,0.697,0.0042042298316955565,0.826,3.399,0.001237335769335429
65999,0.708,0.004187206983566285,0.828,3.404,0.0012301955938339233
66999,0.686,0.0041758990287780766,0.816,3.394,0.001229936627546946
67999,0.691,0.004147577524185181,0.822,3.399,0.0012198881189028421
68999,0.692,0.00410150933265686,0.823,3.404,0.001205110275745392
69999,0.723,0.00403883171081543,0.839,3.38,0.0011949819763501484
70999,0.667,0.004073332309722901,0.815,3.4,0.0011980028629302978
71999,0.638,0.0040288023948669436,0.8,3.383,0.0011910339514414469
72999,0.685,0.004057274580001831,0.813,3.418,0.0011867868542671204
