training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.339,0.003573254823684692,0.573,4.346,0.0008269084175427754
1999,0.357,0.0036217727661132814,0.589,4.406,0.0008271591345469157
2999,0.329,0.0031491079330444338,0.593,4.165,0.0007560426672299703
3999,0.236,0.0032616996765136718,0.552,4.178,0.0007805967410405477
4999,0.39,0.003256251335144043,0.581,4.342,0.0007497969667116801
5999,0.394,0.003122899532318115,0.606,4.173,0.0007481896162033081
6999,0.438,0.003136547565460205,0.625,4.189,0.0007484872976938884
7999,0.421,0.0031475820541381834,0.61,4.217,0.0007463987390200297
8999,0.49,0.0030869081020355226,0.658,4.123,0.000748688300450643
9999,0.473,0.003172156572341919,0.634,4.25,0.0007463487148284912
10999,0.46,0.0030753855705261232,0.646,4.11,0.0007480212847391764
11999,0.441,0.003089134931564331,0.637,4.134,0.0007473771810531616
12999,0.474,0.003122919797897339,0.642,4.188,0.0007453791737556457
13999,0.438,0.003123715877532959,0.625,4.191,0.0007452355980873108
14999,0.539,0.0029963116645812986,0.706,4.018,0.0007459526459376017
15999,0.432,0.5646225111484527,0.613,4.206,0.11304607826471329
16999,0.429,0.0031700215339660644,0.63,4.101,0.0007731228311856588
17999,0.472,0.003080986738204956,0.65,4.147,0.0007429477453231812
18999,0.501,0.003148012638092041,0.662,4.139,0.0007605312546094258
19999,0.469,0.003074558734893799,0.661,4.089,0.0007517168045043946
20999,0.469,0.0032378735542297364,0.648,4.123,0.0007852932929992676
21999,0.412,0.003369528293609619,0.606,4.2,0.0008019752383232117
22999,0.44,0.0035677931308746337,0.627,4.178,0.0008544947902361552
23999,0.424,0.003445740222930908,0.628,4.175,0.0008245004892349243
24999,0.424,0.0033086490631103515,0.622,4.101,0.0008066645264625549
25999,0.518,0.0034622678756713867,0.684,4.117,0.0008398914655049642
26999,0.494,0.0033264050483703613,0.667,4.093,0.0008118767460187276
27999,0.469,0.003372938394546509,0.662,4.094,0.0008262160857518514
28999,0.486,0.0031631860733032226,0.679,4.033,0.0007841131647427877
29999,0.458,0.003190505743026733,0.651,4.138,0.000771230407555898
30999,0.522,0.0032348852157592775,0.683,4.14,0.0007807146430015564
