training_episode_index,mean_score,mean_time_per_episode,win_rate,mean_steps_per_episode,mean_time_per_step
999,0.814,0.004433077335357666,0.896,3.845,0.00115254035393397
1999,0.744,0.004026224136352539,0.853,3.766,0.0010694587429364523
2999,0.679,0.004000468015670776,0.786,3.731,0.0010722617546717326
3999,0.608,0.003936717987060547,0.794,3.695,0.0010651185711224873
4999,0.725,0.0036773314476013183,0.835,3.46,0.0010622512261072796
5999,0.881,0.0040175459384918216,0.929,3.583,0.001121307611465454
6999,0.82,0.004007507085800171,0.887,3.763,0.001065100383758545
7999,0.751,0.003931841135025024,0.85,3.684,0.0010668092767397563
8999,0.842,0.0037131681442260744,0.919,3.304,0.001122917377948761
9999,0.743,0.004182009696960449,0.866,3.702,0.0011294505953788757
10999,0.597,0.004014200925827026,0.788,3.674,0.0010925577839215597
11999,0.853,0.004248472452163696,0.92,3.85,0.0011037992715835572
12999,0.834,0.004246440410614014,0.902,3.519,0.0012071999470392863
13999,0.89,0.004821056604385376,0.924,3.523,0.0013715965628623963
14999,0.777,0.004637288331985474,0.869,3.943,0.0011755307873090109
15999,0.81,0.004685503482818603,0.89,3.876,0.0012122849941253661
16999,0.916,0.00458504581451416,0.942,3.795,0.0012070406675338745
17999,0.92,0.003934983491897583,0.943,3.511,0.0011201295018196107
18999,0.88,0.004217906951904297,0.918,3.589,0.0011758902629216512
19999,0.935,0.003990052700042724,0.944,3.596,0.0011092286229133605
20999,0.786,0.005074110269546509,0.854,3.992,0.001264120320479075
21999,0.877,0.004664183855056763,0.905,3.94,0.0011835944016774496
22999,0.919,0.3271304459571838,0.935,3.555,0.10883259094556173
23999,0.906,0.008210757970809937,0.934,3.375,0.0025995996117591856
24999,0.923,0.024949639081954956,0.955,3.452,0.008154289178053538
25999,0.926,0.0037632324695587157,0.944,3.532,0.0010653090278307598
26999,0.898,0.007784465789794922,0.92,3.898,0.0019739191214243573
27999,0.991,0.0035214462280273437,0.995,3.364,0.0010465559720993043
28999,0.926,0.004181184530258179,0.934,3.607,0.0011544788082440693
29999,0.928,0.004087660074234009,0.936,3.815,0.0010713698506355286
30999,0.888,0.00431372332572937,0.932,3.709,0.0011628466169039408
31999,0.955,0.004172351598739624,0.971,3.468,0.0012028189539909362
32999,0.883,0.004080369234085083,0.896,3.746,0.0010888813455899556
33999,0.988,0.003721646547317505,0.991,3.428,0.0010851695577303569
34999,0.933,0.004031997203826904,0.943,3.811,0.0010574244419733682
35999,0.948,0.0043133475780487065,0.951,3.623,0.001186709415912628
36999,0.939,0.004300695180892944,0.945,3.857,0.0011163670539855958
37999,0.948,0.003927226066589355,0.958,3.466,0.0011307639837265014
38999,0.96,0.004153984546661377,0.969,3.617,0.0011482990304629008
39999,0.929,0.0038355441093444824,0.94,3.537,0.0010835507869720459
40999,0.902,0.004086449384689331,0.933,3.732,0.001094448733329773
41999,0.968,0.003726879358291626,0.968,3.488,0.0010682090123494466
42999,0.925,0.0043941023349761965,0.93,3.808,0.0011573893547058105
43999,0.961,0.004141705513000488,0.976,3.535,0.001173604186375936
44999,0.949,0.0036511504650115966,0.961,3.436,0.001062349538008372
45999,0.961,0.0038966965675354005,0.966,3.397,0.0011489226937294007
46999,0.955,0.004260097980499268,0.96,3.391,0.0012585560321807861
47999,0.966,0.0042993054389953616,0.97,3.391,0.0012703257242838541
48999,0.971,0.004227680444717407,0.974,3.52,0.0011995505174001058
49999,0.967,0.004004442453384399,0.972,3.366,0.0011901123483975728
50999,0.964,0.003941497802734375,0.964,3.641,0.0010827083071072896
51999,0.947,0.003992914915084839,0.958,3.576,0.001116448442141215
52999,0.965,0.00393303370475769,0.969,3.489,0.001127214801311493
53999,0.947,0.0041603496074676515,0.952,3.756,0.0011076239466667175
54999,0.943,0.0038270072937011718,0.954,3.624,0.0010558547576268514
55999,0.974,0.00410013747215271,0.976,3.615,0.0011312363068262737
56999,0.93,0.004146728754043579,0.946,3.553,0.0011670432051022848
57999,0.948,0.003870145320892334,0.97,3.419,0.001133161195119222
58999,0.957,0.0036629607677459717,0.957,3.427,0.0010687169671058654
59999,0.958,0.003992800712585449,0.967,3.401,0.0011738443692525227
60999,0.962,0.004058645963668823,0.968,3.545,0.0011463501969973247
61999,0.971,0.003789247751235962,0.971,3.436,0.0011028419534365335
62999,0.942,0.0037073335647583006,0.95,3.399,0.0010906140327453613
63999,0.955,0.003860425710678101,0.955,3.459,0.0011164783994356792
64999,0.969,0.003648688793182373,0.969,3.397,0.0010741851766904195
65999,0.944,0.003818103551864624,0.948,3.409,0.0011192988673845927
66999,0.943,0.0038730835914611815,0.952,3.524,0.0010989094773928324
67999,0.972,0.003790792226791382,0.972,3.413,0.0011101178646087647
68999,0.978,0.0037931721210479738,0.978,3.42,0.001108982225259145
69999,0.969,0.0037643318176269532,0.971,3.389,0.0011102628469467164
70999,0.978,0.003994254112243653,0.978,3.52,0.001134511125087738
71999,0.941,0.003987661600112915,0.965,3.425,0.0011650286674499512
72999,0.947,0.0037454347610473633,0.951,3.369,0.0011112768610318502
73999,0.958,0.0037696754932403567,0.962,3.407,0.0011065942923227947
74999,0.95,0.003923613071441651,0.955,3.552,0.0011049275358517964
75999,0.953,0.004023482084274292,0.953,3.472,0.0011586318294207255
76999,0.969,0.0037545402050018313,0.974,3.393,0.0011067572236061096
77999,0.976,0.003754359245300293,0.976,3.38,0.0011101000269254048
78999,0.962,0.003772747039794922,0.962,3.406,0.0011078332980473836
79999,0.945,0.004041765689849854,0.948,3.635,0.0011115047653516134
80999,0.933,0.004512933492660523,0.933,3.917,0.0011513341108957927
81999,0.96,0.0040621495246887206,0.962,3.665,0.0011087077697118123
82999,0.96,0.0038581202030181887,0.96,3.474,0.0011103565533955892
83999,0.953,0.004054504156112671,0.953,3.645,0.0011122464617093404
84999,0.936,0.00393507719039917,0.946,3.567,0.001103428852558136
85999,0.941,0.004131890058517456,0.949,3.637,0.0011360027273495993
86999,0.937,0.003957372426986694,0.948,3.568,0.0011093080957730612
87999,0.934,0.004137385606765747,0.946,3.719,0.0011121936599413553
88999,0.944,0.0038124284744262696,0.947,3.433,0.0011102965513865152
89999,0.971,0.003706364154815674,0.973,3.328,0.0011133474946022034
90999,0.972,0.003739438056945801,0.972,3.289,0.0011367132623990377
91999,0.972,0.0036415035724639893,0.972,3.272,0.0011126536051432293
92999,0.952,0.003926571846008301,0.952,3.528,0.0011126743356386821
93999,0.96,0.0039201083183288575,0.965,3.498,0.0011204282323519388
94999,0.964,0.003796889543533325,0.964,3.405,0.0011142719388008118
95999,0.966,0.0038455371856689455,0.969,3.385,0.001135919956366221
96999,0.97,0.0036301424503326417,0.974,3.269,0.0011106802860895793
97999,0.95,0.0035837955474853516,0.961,3.219,0.0011133161385854086
98999,0.971,0.00379880690574646,0.971,3.426,0.0011091762860616049
99999,0.962,0.0037554752826690673,0.963,3.381,0.0011106300274531047
